N       Q_det    Q_mean    σ_empirical   σ_simple      σ_correct     err_simple  err_correct
50      0.4674   0.2800   0.07091       0.14142       0.06350       0.9943      0.1046    
50      0.5191   0.1800   0.05714       0.14142       0.05433       1.4749      0.0492    
50      0.4626   0.1400   0.04957       0.14142       0.04907       1.8530      0.0101    
50      0.5058   0.4600   0.07120       0.14142       0.07048       0.9863      0.0101    
50      0.6221   0.2800   0.06934       0.14142       0.06350       1.0395      0.0843    
50      0.5792   0.0800   0.03876       0.14142       0.03837       2.6490      0.0101    
50      0.5868   0.0600   0.03393       0.14142       0.03359       3.1684      0.0101    
50      0.8412   0.7600   0.05918       0.14142       0.06040       1.3898      0.0206    
50      0.5615   0.0400   0.03393       0.14142       0.02771       3.1684      0.1832    
50      0.8248   0.5400   0.07051       0.14142       0.07048       1.0057      0.0003    
50      0.5012   0.0200   0.02000       0.14142       0.01980       6.0711      0.0101    
50      0.4794   0.0000   0.00000       0.14142       0.00000       141421356237309.5000  0.0000    
50      0.3168   0.0600   0.04957       0.14142       0.03359       1.8530      0.3225    
50      0.6896   0.2200   0.05237       0.14142       0.05858       1.7003      0.1186    
50      0.5770   0.0000   0.02000       0.14142       0.00000       6.0711      1.0000    
50      0.5025   0.0000   0.00000       0.14142       0.00000       141421356237309.5000  0.0000    
50      0.4201   0.1200   0.05237       0.14142       0.04596       1.7003      0.1225    
50      0.5170   0.0600   0.04642       0.14142       0.03359       2.0464      0.2765    
50      0.5987   0.0400   0.02799       0.14142       0.02771       4.0518      0.0101    
50      0.4846   0.0800   0.04642       0.14142       0.03837       2.0464      0.1735    
100     0.4674   0.3500   0.04852       0.10000       0.04770       1.0609      0.0170    
100     0.5191   0.1600   0.04352       0.10000       0.03666       1.2978      0.1576    
100     0.4626   0.1200   0.02876       0.10000       0.03250       2.4768      0.1298    
100     0.5058   0.5500   0.05024       0.10000       0.04975       0.9904      0.0098    
100     0.6221   0.2900   0.04902       0.10000       0.04538       1.0400      0.0743    
100     0.5792   0.0400   0.02190       0.10000       0.01960       3.5653      0.1054    
100     0.5868   0.0600   0.02876       0.10000       0.02375       2.4768      0.1743    
100     0.8412   0.6700   0.04688       0.10000       0.04702       1.1330      0.0030    
100     0.5615   0.1100   0.02387       0.10000       0.03129       3.1897      0.3109    
