n_pts,N_shots,N_total,seed,rmse,rmse_se,rmse_corr,mae,mean_sigma_gp,mean_sigma_noise,cov80,cov90,cov95,cov95_adj,nlpd,nlpd_adj,crps,msse,msse_gp,n_valid,l1,l2,l3,sf,c
10,100,1000,1,0.197907,0.002720,0.192659,0.143072,0.105168,0.045274,0.6296,0.7340,0.7973,0.8171,0.2207,0.1349,0.107389,2.779927,3.134554,4997,0.0739,0.1124,1.5000,0.9114,0.0500
10,100,1000,2,0.212670,0.002130,0.207795,0.159759,0.078563,0.045274,0.4247,0.5053,0.5591,0.6397,2.7188,1.5696,0.128081,6.143824,8.866221,4999,1.5000,0.1163,1.5000,0.9278,0.0500
10,100,1000,3,0.211078,0.002020,0.206166,0.165046,0.110996,0.045274,0.5359,0.6339,0.6937,0.7337,0.3546,0.2015,0.123134,2.848606,3.343347,4999,0.5162,0.1316,1.5000,0.9493,0.0500
10,100,1000,4,0.167870,0.002216,0.161649,0.124282,0.127677,0.045275,0.7211,0.8145,0.8693,0.8956,-0.2580,-0.3028,0.091202,1.608130,1.852018,4998,0.2532,0.7163,0.4381,1.0598,0.0500
10,100,1000,5,0.150571,0.001724,0.143604,0.112126,0.150906,0.045274,0.8302,0.9072,0.9534,0.9602,-0.5855,-0.5608,0.081146,0.798928,0.873876,4999,0.1529,0.2970,1.5000,1.0929,0.0500
10,100,1000,6,0.189451,0.001977,0.183961,0.144901,0.131716,0.045274,0.6591,0.7457,0.8100,0.8278,-0.0757,-0.1089,0.107405,1.897808,2.085558,4999,1.5000,0.0500,0.1074,0.9024,0.0500
10,100,1000,7,0.190604,0.002090,0.185149,0.145898,0.171376,0.045274,0.7277,0.8292,0.8860,0.8964,-0.2049,-0.2200,0.106801,1.262533,1.389759,4999,0.4825,0.0925,1.5000,0.9992,0.0500
10,100,1000,8,0.234867,0.002561,0.230461,0.180402,0.156862,0.045276,0.6369,0.7373,0.7943,0.8087,0.9033,0.6085,0.135932,3.067405,3.769390,4998,1.5000,1.0210,0.0500,0.9684,0.0500
10,100,1000,9,0.202517,0.002571,0.197391,0.151755,0.021722,0.045276,0.1167,0.1525,0.1853,0.4523,40.5317,10.7182,0.129500,25.616973,86.884343,4997,0.0500,0.0500,0.0500,0.3000,1.4390
10,100,1000,10,0.155390,0.001548,0.148649,0.122412,0.125264,0.045272,0.6562,0.7571,0.8263,0.8643,-0.0450,-0.1938,0.090387,1.880277,2.342399,4997,0.1285,1.5000,0.6298,0.9437,0.5502
10,100,1000,11,0.235313,0.002385,0.230916,0.180789,0.188084,0.045275,0.7492,0.8512,0.9114,0.9232,-0.0614,-0.0884,0.127185,1.392909,1.538361,5000,0.2249,0.4121,1.5000,0.8842,0.0500
10,100,1000,12,0.172220,0.001569,0.166163,0.138125,0.104169,0.045275,0.5650,0.6772,0.7530,0.7862,0.3578,0.0909,0.102253,2.728211,3.457057,5000,1.5000,0.1105,1.5000,0.7904,1.3686
10,100,1000,13,0.155852,0.001525,0.149129,0.125075,0.180741,0.045279,0.8784,0.9594,0.9900,0.9906,-0.4734,-0.4542,0.087431,0.644302,0.678149,4999,0.1889,0.0698,1.5000,0.9755,0.0500
10,100,1000,14,0.156416,0.001209,0.149721,0.132188,0.110433,0.045274,0.6057,0.7245,0.8092,0.8488,-0.2836,-0.3607,0.091445,1.746652,2.117367,4999,0.1932,0.3993,1.5000,1.0708,0.0500
10,100,1000,15,0.170001,0.001607,0.163862,0.131869,0.158279,0.045274,0.7740,0.9200,0.9750,0.9828,-0.5060,-0.4897,0.091847,0.862695,0.943256,4999,0.2065,0.2294,1.5000,1.0164,0.0500
10,100,1000,16,0.235991,0.002084,0.231607,0.187233,0.069389,0.045274,0.3189,0.3862,0.4390,0.5198,5.3644,2.5603,0.152076,8.288239,14.401826,4998,1.5000,0.1039,1.5000,0.6993,0.0500
10,100,1000,17,0.248168,0.002781,0.244003,0.190379,0.160297,0.045275,0.6168,0.7108,0.7648,0.7852,1.0288,0.7536,0.144744,3.323813,3.983584,5000,1.5000,1.5000,0.0507,0.9033,0.0500
10,100,1000,18,0.137901,0.001247,0.130257,0.111889,0.181473,0.045275,0.9136,0.9760,0.9926,0.9964,-0.5302,-0.5144,0.079409,0.531973,0.574103,4999,0.0967,0.2523,1.5000,0.9369,0.0500
10,100,1000,19,0.134003,0.001464,0.126123,0.103573,0.183700,0.045274,0.9042,0.9488,0.9716,0.9762,-0.4968,-0.4894,0.078544,0.596675,0.662380,4999,0.1436,0.4717,1.5000,0.9167,0.0500
10,100,1000,20,0.184676,0.002598,0.179040,0.134709,0.083596,0.045275,0.5384,0.6765,0.7301,0.7849,0.4888,0.2430,0.101536,3.373409,4.163305,4998,0.1475,0.1455,1.5000,0.9801,0.0500
10,100,1000,21,0.160294,0.001733,0.153768,0.122873,0.099569,0.045272,0.5924,0.7038,0.7729,0.8231,-0.0740,-0.2152,0.090568,2.204480,2.728971,4997,0.2970,0.6928,0.5595,0.9845,0.0500
10,100,1000,22,0.155152,0.001540,0.148399,0.124477,0.149764,0.045275,0.7980,0.8902,0.9486,0.9554,-0.5027,-0.5001,0.086209,0.919120,1.025232,5000,0.1483,0.2138,1.5000,0.9650,0.0500
10,100,1000,23,0.191512,0.002170,0.186084,0.148581,0.107999,0.045274,0.5379,0.6447,0.7309,0.7800,0.4515,0.1526,0.110178,2.797446,3.621304,4999,1.5000,0.1639,0.2792,1.0900,0.0500
10,100,1000,24,0.162148,0.001551,0.155698,0.127939,0.131183,0.045277,0.6890,0.7936,0.8681,0.9053,-0.2557,-0.3637,0.091166,1.498156,1.911748,4996,0.1481,1.5000,1.5000,0.9868,0.0500
10,100,1000,25,0.192857,0.001810,0.187467,0.148616,0.182821,0.045275,0.7798,0.9320,0.9820,0.9874,-0.3690,-0.3560,0.104540,0.851297,0.905089,4999,0.4673,0.1404,1.2627,1.0573,0.5403
