N,seed,selected_rank,iter,n_train,axis,x_u,x_physical,physical_unit,mu,sigma
100,191889,1,10,22,fcl,-0.5,-5,kHz,0.34981089178024954,0.20217780000048802
100,191889,1,10,22,fcl,-0.495,-4.9500000000000002,kHz,0.35070041438500266,0.20061248273991567
100,191889,1,10,22,fcl,-0.48999999999999999,-4.9000000000000004,kHz,0.35169894494522658,0.19902397666726243
100,191889,1,10,22,fcl,-0.48499999999999999,-4.8499999999999996,kHz,0.35280882441269645,0.1974118246567366
100,191889,1,10,22,fcl,-0.47999999999999998,-4.7999999999999998,kHz,0.35403238797464781,0.1957755470076124
100,191889,1,10,22,fcl,-0.47499999999999998,-4.75,kHz,0.35537196306454433,0.19411464178678101
100,191889,1,10,22,fcl,-0.46999999999999997,-4.7000000000000002,kHz,0.35682986736377104,0.19242858546980504
100,191889,1,10,22,fcl,-0.46500000000000002,-4.6500000000000004,kHz,0.35840840680239183,0.19071683391811459
100,191889,1,10,22,fcl,-0.46000000000000002,-4.5999999999999996,kHz,0.36010987356746643,0.18897882373192126
100,191889,1,10,22,fcl,-0.45500000000000002,-4.5499999999999998,kHz,0.36193654412766818,0.18721397402025058
100,191889,1,10,22,fcl,-0.45000000000000001,-4.5,kHz,0.36389067728304797,0.18542168863114811
100,191889,1,10,22,fcl,-0.44500000000000001,-4.4500000000000002,kHz,0.3659745122487798,0.18360135888660992
100,191889,1,10,22,fcl,-0.44,-4.4000000000000004,kHz,0.36819026678148975,0.18175236686807619
100,191889,1,10,22,fcl,-0.435,-4.3499999999999996,kHz,0.37054013535639757,0.17987408929937374
100,191889,1,10,22,fcl,-0.42999999999999999,-4.2999999999999998,kHz,0.37302628740285093,0.17796590207481622
100,191889,1,10,22,fcl,-0.42499999999999999,-4.25,kHz,0.37565086560497102,0.17602718548067275
100,191889,1,10,22,fcl,-0.41999999999999998,-4.2000000000000002,kHz,0.37841598427297185,0.17405733015844252
100,191889,1,10,22,fcl,-0.41499999999999998,-4.1500000000000004,kHz,0.38132372778926316,0.17205574385821987
