N,selected_rank,seed,final_q_det,median_q_det,trace_dir
100,1,191889,0.99877075380076863,0.99880843690157861,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100_nostop100_stream_100seeds
100,2,150574,0.9988461200023887,0.99880843690157861,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100_nostop100_stream_100seeds
100,3,888571,0.9987195281152671,0.99880843690157861,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100_nostop100_stream_100seeds
100,4,321202,0.99890969739345903,0.99880843690157861,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100_nostop100_stream_100seeds
100,5,273956,0.99891558250407464,0.99880843690157861,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100_nostop100_stream_100seeds
1000,1,39528,0.99958358456422669,0.99958184676261319,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N1000_nostop100_stream_100seeds
1000,2,909858,0.99958010896099969,0.99958184676261319,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N1000_nostop100_stream_100seeds
1000,3,632485,0.99957943789650205,0.99958184676261319,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N1000_nostop100_stream_100seeds
1000,4,312561,0.99958660043312542,0.99958184676261319,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N1000_nostop100_stream_100seeds
1000,5,535117,0.99957565550882976,0.99958184676261319,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N1000_nostop100_stream_100seeds
10000,1,558664,0.99985635975689013,0.99985287367158115,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N10000_nostop100_stream_100seeds
10000,2,644045,0.99984938758627218,0.99985287367158115,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N10000_nostop100_stream_100seeds
10000,3,175307,0.99985946267371117,0.99985287367158115,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N10000_nostop100_stream_100seeds
10000,4,205394,0.99984520971661739,0.99985287367158115,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N10000_nostop100_stream_100seeds
10000,5,387749,0.99986866825630405,0.99985287367158115,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N10000_nostop100_stream_100seeds
100000,1,526,0.99997476490402082,0.99997463254435193,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100000_nostop100_stream_100seeds
100000,2,965652,0.99997450018468292,0.99997463254435193,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100000_nostop100_stream_100seeds
100000,3,184183,0.99997507555088117,0.99997463254435193,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100000_nostop100_stream_100seeds
100000,4,666520,0.99997400232832323,0.99997463254435193,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100000_nostop100_stream_100seeds
100000,5,421887,0.99997581165584237,0.99997463254435193,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_N100000_nostop100_stream_100seeds
Inf,1,181983,0.99999962450378588,0.99999962732170555,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_NInf_nostop100_stream_100seeds
Inf,2,55163,0.99999963013962534,0.99999962732170555,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_NInf_nostop100_stream_100seeds
Inf,3,889047,0.9999996244149616,0.99999962732170555,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_NInf_nostop100_stream_100seeds
Inf,4,337617,0.99999964272470998,0.99999962732170555,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_NInf_nostop100_stream_100seeds
Inf,5,902578,0.9999995950976639,0.99999962732170555,/home/patcaspu/QuantumFidelityOptimization/data/traces_freqspan10_bound050_NInf_nostop100_stream_100seeds
