u1,u2,u3,Q_jac,Q_det,gg,ee
-0.070000,-0.070000,-0.400000,0.763068,0.876087,0.065913,0.697143
-0.065000,-0.070000,-0.400000,0.772215,0.884572,0.065232,0.706971
-0.060000,-0.070000,-0.400000,0.781513,0.892616,0.064772,0.716729
-0.055000,-0.070000,-0.400000,0.790885,0.900226,0.064561,0.726312
-0.050000,-0.070000,-0.400000,0.800219,0.907387,0.064622,0.735585
-0.045000,-0.070000,-0.400000,0.809423,0.914110,0.064971,0.744440
-0.040000,-0.070000,-0.400000,0.818402,0.920404,0.065621,0.752769
-0.035000,-0.070000,-0.400000,0.827028,0.926261,0.066573,0.760443
-0.030000,-0.070000,-0.400000,0.835203,0.931693,0.067827,0.767364
-0.025000,-0.070000,-0.400000,0.842821,0.936707,0.069377,0.773432
-0.020000,-0.070000,-0.400000,0.849789,0.941315,0.071214,0.778563
-0.015000,-0.070000,-0.400000,0.855998,0.945516,0.073321,0.782666
-0.010000,-0.070000,-0.400000,0.861374,0.949326,0.075683,0.785679
-0.005000,-0.070000,-0.400000,0.865848,0.952756,0.078285,0.787551
0.000000,-0.070000,-0.400000,0.869355,0.955813,0.081106,0.788237
0.005000,-0.070000,-0.400000,0.871856,0.958511,0.084130,0.787714
0.010000,-0.070000,-0.400000,0.873327,0.960863,0.087347,0.785968
0.015000,-0.070000,-0.400000,0.873755,0.962880,0.090738,0.783005
0.020000,-0.070000,-0.400000,0.873153,0.964575,0.094299,0.778842
0.025000,-0.070000,-0.400000,0.871542,0.965965,0.098028,0.773503
0.030000,-0.070000,-0.400000,0.868970,0.967059,0.101919,0.767039
0.035000,-0.070000,-0.400000,0.865494,0.967874,0.105982,0.759500
0.040000,-0.070000,-0.400000,0.861187,0.968422,0.110227,0.750948
0.045000,-0.070000,-0.400000,0.856129,0.968718,0.114674,0.741444
0.050000,-0.070000,-0.400000,0.850429,0.968776,0.119333,0.731084
0.055000,-0.070000,-0.400000,0.844188,0.968608,0.124233,0.719943
0.060000,-0.070000,-0.400000,0.837512,0.968228,0.129407,0.708094
0.065000,-0.070000,-0.400000,0.830535,0.967650,0.134875,0.695648
0.070000,-0.070000,-0.400000,0.823368,0.966885,0.140674,0.682683
-0.070000,-0.065000,-0.400000,0.768496,0.884955,0.063460,0.705023
-0.065000,-0.065000,-0.400000,0.778468,0.893318,0.063454,0.715002
-0.060000,-0.065000,-0.400000,0.788565,0.901234,0.063667,0.724886
-0.055000,-0.065000,-0.400000,0.798708,0.908712,0.064123,0.734573
-0.050000,-0.065000,-0.400000,0.808778,0.915738,0.064838,0.743929
-0.045000,-0.065000,-0.400000,0.818683,0.922322,0.065822,0.752848
-0.040000,-0.065000,-0.400000,0.828322,0.928474,0.067083,0.761227
