axis,u_scan,u1,u2,u3,Q_jac_det,Q_det,Q_shot_mean,Q_shot_std,Q_db_mean,Q_db_std,bias_empirical,bias_theory,bias_residual,db_error,gg,ee
u1,-0.070000,-0.070000,0.003966,0.082414,0.912361,0.962713,0.912134,0.002622,0.912468,0.002692,0.000226,0.000133,0.000093,-0.000107,0.139596,0.772753
u1,-0.069296,-0.069296,0.003966,0.082414,0.913992,0.963536,0.913971,0.002951,0.914417,0.003033,0.000022,0.000148,-0.000126,-0.000425,0.139747,0.774233
u1,-0.068593,-0.068593,0.003966,0.082414,0.915625,0.964356,0.915464,0.002816,0.915952,0.002956,0.000161,0.000164,-0.000004,-0.000327,0.139897,0.775716
u1,-0.067889,-0.067889,0.003966,0.082414,0.917236,0.965160,0.917399,0.003124,0.917957,0.003127,-0.000163,0.000182,-0.000345,-0.000721,0.140045,0.777179
u1,-0.067186,-0.067186,0.003966,0.082414,0.918835,0.965954,0.918665,0.002658,0.919330,0.002877,0.000170,0.000200,-0.000030,-0.000495,0.140190,0.778633
u1,-0.066482,-0.066482,0.003966,0.082414,0.920436,0.966744,0.920419,0.002904,0.921005,0.003073,0.000017,0.000221,-0.000204,-0.000569,0.140335,0.780089
u1,-0.065779,-0.065779,0.003966,0.082414,0.922014,0.967519,0.922264,0.002878,0.922959,0.002976,-0.000250,0.000242,-0.000492,-0.000946,0.140477,0.781525
u1,-0.065075,-0.065075,0.003966,0.082414,0.923591,0.968289,0.923578,0.002592,0.924236,0.002877,0.000013,0.000265,-0.000253,-0.000645,0.140618,0.782961
u1,-0.064372,-0.064372,0.003966,0.082414,0.925146,0.969043,0.924880,0.003157,0.925575,0.003178,0.000266,0.000290,-0.000024,-0.000428,0.140756,0.784378
u1,-0.063668,-0.063668,0.003966,0.082414,0.926701,0.969794,0.926461,0.003221,0.927021,0.003277,0.000239,0.000316,-0.000077,-0.000320,0.140894,0.785795
u1,-0.062965,-0.062965,0.003966,0.082414,0.928232,0.970529,0.927929,0.002832,0.928594,0.003066,0.000303,0.000343,-0.000040,-0.000361,0.141028,0.787192
u1,-0.062261,-0.062261,0.003966,0.082414,0.929763,0.971259,0.929320,0.002686,0.929905,0.002720,0.000443,0.000372,0.000071,-0.000142,0.141162,0.788589
u1,-0.061558,-0.061558,0.003966,0.082414,0.931270,0.971975,0.930650,0.002869,0.931432,0.002910,0.000621,0.000403,0.000218,-0.000162,0.141293,0.789966
u1,-0.060854,-0.060854,0.003966,0.082414,0.932776,0.972686,0.932001,0.002799,0.932716,0.002950,0.000776,0.000435,0.000341,0.000061,0.141423,0.791341
u1,-0.060151,-0.060151,0.003966,0.082414,0.934259,0.973382,0.933821,0.002812,0.934402,0.002972,0.000437,0.000469,-0.000031,-0.000143,0.141551,0.792696
u1,-0.059447,-0.059447,0.003966,0.082414,0.935729,0.974069,0.935295,0.003021,0.936009,0.003098,0.000434,0.000504,-0.000070,-0.000280,0.141676,0.794041
u1,-0.058744,-0.058744,0.003966,0.082414,0.937196,0.974750,0.936466,0.002732,0.937265,0.002926,0.000731,0.000541,0.000190,-0.000069,0.141801,0.795383
u1,-0.058040,-0.058040,0.003966,0.082414,0.938641,0.975417,0.938222,0.002813,0.938792,0.002757,0.000419,0.000579,-0.000160,-0.000152,0.141923,0.796705
u1,-0.057337,-0.057337,0.003966,0.082414,0.940082,0.976080,0.939244,0.003019,0.939984,0.003221,0.000837,0.000619,0.000218,0.000098,0.142045,0.798025
u1,-0.056633,-0.056633,0.003966,0.082414,0.941499,0.976727,0.940802,0.002767,0.941540,0.002854,0.000697,0.000660,0.000037,-0.000041,0.142163,0.799324
