plane,slice_fixed_val,u1_fcl,u2_fsb,u3_A,Q_det,Q_varMS
XY,-1.0000,-1.0000,-1.0000,-1.0000,0.476242,0.012000
XY,-1.0000,-1.0000,-0.9310,-1.0000,0.474393,0.040000
XY,-1.0000,-1.0000,-0.8621,-1.0000,0.477744,0.075000
XY,-1.0000,-1.0000,-0.7931,-1.0000,0.485064,0.051000
XY,-1.0000,-1.0000,-0.7241,-1.0000,0.503270,0.037000
XY,-1.0000,-1.0000,-0.6552,-1.0000,0.523275,0.023000
XY,-1.0000,-1.0000,-0.5862,-1.0000,0.529456,0.007000
XY,-1.0000,-1.0000,-0.5172,-1.0000,0.527378,0.013000
XY,-1.0000,-1.0000,-0.4483,-1.0000,0.520499,0.038000
XY,-1.0000,-1.0000,-0.3793,-1.0000,0.496438,0.053000
XY,-1.0000,-1.0000,-0.3103,-1.0000,0.434677,0.058000
XY,-1.0000,-1.0000,-0.2414,-1.0000,0.333507,0.088000
XY,-1.0000,-1.0000,-0.1724,-1.0000,0.233189,0.137000
XY,-1.0000,-1.0000,-0.1034,-1.0000,0.156080,0.181000
XY,-1.0000,-1.0000,-0.0345,-1.0000,0.213855,0.119000
XY,-1.0000,-1.0000,0.0345,-1.0000,0.321003,0.087000
XY,-1.0000,-1.0000,0.1034,-1.0000,0.408139,0.086000
XY,-1.0000,-1.0000,0.1724,-1.0000,0.452205,0.087000
XY,-1.0000,-1.0000,0.2414,-1.0000,0.495889,0.076000
XY,-1.0000,-1.0000,0.3103,-1.0000,0.505564,0.087000
XY,-1.0000,-1.0000,0.3793,-1.0000,0.443169,0.094000
XY,-1.0000,-1.0000,0.4483,-1.0000,0.344278,0.157000
XY,-1.0000,-1.0000,0.5172,-1.0000,0.242731,0.186000
XY,-1.0000,-1.0000,0.5862,-1.0000,0.179070,0.211000
XY,-1.0000,-1.0000,0.6552,-1.0000,0.235347,0.173000
XY,-1.0000,-1.0000,0.7241,-1.0000,0.335544,0.083000
XY,-1.0000,-1.0000,0.7931,-1.0000,0.428122,0.041000
XY,-1.0000,-1.0000,0.8621,-1.0000,0.490856,0.032000
XY,-1.0000,-1.0000,0.9310,-1.0000,0.517252,0.024000
XY,-1.0000,-1.0000,1.0000,-1.0000,0.519694,0.012000
XY,-1.0000,-0.9310,-1.0000,-1.0000,0.468036,0.036000
XY,-1.0000,-0.9310,-0.9310,-1.0000,0.471987,0.097000
XY,-1.0000,-0.9310,-0.8621,-1.0000,0.476712,0.076000
XY,-1.0000,-0.9310,-0.7931,-1.0000,0.485300,0.049000
XY,-1.0000,-0.9310,-0.7241,-1.0000,0.510949,0.027000
XY,-1.0000,-0.9310,-0.6552,-1.0000,0.530204,0.018000
XY,-1.0000,-0.9310,-0.5862,-1.0000,0.531814,0.023000
XY,-1.0000,-0.9310,-0.5172,-1.0000,0.530614,0.037000
XY,-1.0000,-0.9310,-0.4483,-1.0000,0.518604,0.096000
XY,-1.0000,-0.9310,-0.3793,-1.0000,0.474731,0.124000
XY,-1.0000,-0.9310,-0.3103,-1.0000,0.379898,0.133000
XY,-1.0000,-0.9310,-0.2414,-1.0000,0.244884,0.172000
XY,-1.0000,-0.9310,-0.1724,-1.0000,0.168363,0.191000
XY,-1.0000,-0.9310,-0.1034,-1.0000,0.186425,0.145000
XY,-1.0000,-0.9310,-0.0345,-1.0000,0.297858,0.051000
XY,-1.0000,-0.9310,0.0345,-1.0000,0.408354,0.037000
XY,-1.0000,-0.9310,0.1034,-1.0000,0.457351,0.084000
XY,-1.0000,-0.9310,0.1724,-1.0000,0.498717,0.090000
XY,-1.0000,-0.9310,0.2414,-1.0000,0.523213,0.106000
XY,-1.0000,-0.9310,0.3103,-1.0000,0.455191,0.113000
XY,-1.0000,-0.9310,0.3793,-1.0000,0.345955,0.141000
XY,-1.0000,-0.9310,0.4483,-1.0000,0.246291,0.186000
XY,-1.0000,-0.9310,0.5172,-1.0000,0.186591,0.215000
XY,-1.0000,-0.9310,0.5862,-1.0000,0.230760,0.183000
XY,-1.0000,-0.9310,0.6552,-1.0000,0.333882,0.102000
XY,-1.0000,-0.9310,0.7241,-1.0000,0.427943,0.042000
XY,-1.0000,-0.9310,0.7931,-1.0000,0.492339,0.029000
XY,-1.0000,-0.9310,0.8621,-1.0000,0.519582,0.024000
XY,-1.0000,-0.9310,0.9310,-1.0000,0.517630,0.017000
XY,-1.0000,-0.9310,1.0000,-1.0000,0.506096,0.024000
XY,-1.0000,-0.8621,-1.0000,-1.0000,0.485149,0.102000
XY,-1.0000,-0.8621,-0.9310,-1.0000,0.487469,0.130000
XY,-1.0000,-0.8621,-0.8621,-1.0000,0.486305,0.082000
XY,-1.0000,-0.8621,-0.7931,-1.0000,0.487347,0.027000
XY,-1.0000,-0.8621,-0.7241,-1.0000,0.515833,0.021000
XY,-1.0000,-0.8621,-0.6552,-1.0000,0.532922,0.045000
XY,-1.0000,-0.8621,-0.5862,-1.0000,0.531977,0.072000
XY,-1.0000,-0.8621,-0.5172,-1.0000,0.525177,0.118000
XY,-1.0000,-0.8621,-0.4483,-1.0000,0.497872,0.189000
XY,-1.0000,-0.8621,-0.3793,-1.0000,0.430369,0.275000
XY,-1.0000,-0.8621,-0.3103,-1.0000,0.311422,0.305000
XY,-1.0000,-0.8621,-0.2414,-1.0000,0.191090,0.280000
XY,-1.0000,-0.8621,-0.1724,-1.0000,0.181987,0.211000
XY,-1.0000,-0.8621,-0.1034,-1.0000,0.254184,0.093000
XY,-1.0000,-0.8621,-0.0345,-1.0000,0.381370,0.011000
XY,-1.0000,-0.8621,0.0345,-1.0000,0.453830,0.024000
XY,-1.0000,-0.8621,0.1034,-1.0000,0.494361,0.060000
XY,-1.0000,-0.8621,0.1724,-1.0000,0.539680,0.113000
XY,-1.0000,-0.8621,0.2414,-1.0000,0.484145,0.128000
XY,-1.0000,-0.8621,0.3103,-1.0000,0.362559,0.155000
XY,-1.0000,-0.8621,0.3793,-1.0000,0.250197,0.221000
XY,-1.0000,-0.8621,0.4483,-1.0000,0.189568,0.240000
XY,-1.0000,-0.8621,0.5172,-1.0000,0.217218,0.178000
XY,-1.0000,-0.8621,0.5862,-1.0000,0.322900,0.105000
XY,-1.0000,-0.8621,0.6552,-1.0000,0.418235,0.039000
XY,-1.0000,-0.8621,0.7241,-1.0000,0.482931,0.025000
XY,-1.0000,-0.8621,0.7931,-1.0000,0.511495,0.026000
XY,-1.0000,-0.8621,0.8621,-1.0000,0.509112,0.010000
XY,-1.0000,-0.8621,0.9310,-1.0000,0.496642,0.026000
XY,-1.0000,-0.8621,1.0000,-1.0000,0.485812,0.095000
XY,-1.0000,-0.7931,-1.0000,-1.0000,0.517535,0.207000
XY,-1.0000,-0.7931,-0.9310,-1.0000,0.512891,0.186000
XY,-1.0000,-0.7931,-0.8621,-1.0000,0.503072,0.079000
XY,-1.0000,-0.7931,-0.7931,-1.0000,0.490592,0.020000
XY,-1.0000,-0.7931,-0.7241,-1.0000,0.516850,0.033000
XY,-1.0000,-0.7931,-0.6552,-1.0000,0.525066,0.102000
XY,-1.0000,-0.7931,-0.5862,-1.0000,0.514323,0.191000
XY,-1.0000,-0.7931,-0.5172,-1.0000,0.494426,0.251000
XY,-1.0000,-0.7931,-0.4483,-1.0000,0.449910,0.347000
XY,-1.0000,-0.7931,-0.3793,-1.0000,0.365863,0.418000
XY,-1.0000,-0.7931,-0.3103,-1.0000,0.248790,0.445000
XY,-1.0000,-0.7931,-0.2414,-1.0000,0.204181,0.407000
XY,-1.0000,-0.7931,-0.1724,-1.0000,0.235979,0.259000
XY,-1.0000,-0.7931,-0.1034,-1.0000,0.329621,0.100000
XY,-1.0000,-0.7931,-0.0345,-1.0000,0.429570,0.010000
XY,-1.0000,-0.7931,0.0345,-1.0000,0.481150,0.046000
XY,-1.0000,-0.7931,0.1034,-1.0000,0.543761,0.106000
XY,-1.0000,-0.7931,0.1724,-1.0000,0.511646,0.132000
XY,-1.0000,-0.7931,0.2414,-1.0000,0.394171,0.170000
XY,-1.0000,-0.7931,0.3103,-1.0000,0.262853,0.219000
