# u1-u2 slice at u3=0.0  metric=q_varMS  grid=71
# axis_a=u1  axis_b=u2
u1,u2,q
-1.000000,-1.000000,0.387998
-1.000000,-0.971429,0.382261
-1.000000,-0.942857,0.380428
-1.000000,-0.914286,0.383376
-1.000000,-0.885714,0.393301
-1.000000,-0.857143,0.407745
-1.000000,-0.828571,0.428550
-1.000000,-0.800000,0.448403
-1.000000,-0.771429,0.471012
-1.000000,-0.742857,0.489747
-1.000000,-0.714286,0.503457
-1.000000,-0.685714,0.514638
-1.000000,-0.657143,0.521067
-1.000000,-0.628571,0.524517
-1.000000,-0.600000,0.526207
-1.000000,-0.571429,0.527312
-1.000000,-0.542857,0.525752
-1.000000,-0.514286,0.521721
-1.000000,-0.485714,0.516674
-1.000000,-0.457143,0.507887
-1.000000,-0.428571,0.496947
-1.000000,-0.400000,0.480244
-1.000000,-0.371429,0.459272
-1.000000,-0.342857,0.433092
-1.000000,-0.314286,0.401011
-1.000000,-0.285714,0.367203
-1.000000,-0.257143,0.327165
-1.000000,-0.228571,0.284247
-1.000000,-0.200000,0.243646
-1.000000,-0.171429,0.204374
-1.000000,-0.142857,0.168603
-1.000000,-0.114286,0.141207
-1.000000,-0.085714,0.125353
-1.000000,-0.057143,0.121272
-1.000000,-0.028571,0.133836
-1.000000,0.000000,0.160395
-1.000000,0.028571,0.196821
-1.000000,0.057143,0.240875
-1.000000,0.085714,0.287533
-1.000000,0.114286,0.330288
-1.000000,0.142857,0.369776
-1.000000,0.171429,0.400861
-1.000000,0.200000,0.423865
-1.000000,0.228571,0.438639
-1.000000,0.257143,0.442024
-1.000000,0.285714,0.440597
-1.000000,0.314286,0.430136
-1.000000,0.342857,0.410174
-1.000000,0.371429,0.385550
-1.000000,0.400000,0.351348
-1.000000,0.428571,0.313808
-1.000000,0.457143,0.272843
-1.000000,0.485714,0.231648
-1.000000,0.514286,0.196007
-1.000000,0.542857,0.165274
-1.000000,0.571429,0.144351
-1.000000,0.600000,0.133613
-1.000000,0.628571,0.136002
-1.000000,0.657143,0.148343
-1.000000,0.685714,0.171870
-1.000000,0.714286,0.204674
-1.000000,0.742857,0.243564
-1.000000,0.771429,0.282278
-1.000000,0.800000,0.322162
-1.000000,0.828571,0.362124
-1.000000,0.857143,0.396590
-1.000000,0.885714,0.424722
-1.000000,0.914286,0.448459
-1.000000,0.942857,0.466574
-1.000000,0.971429,0.480159
-1.000000,1.000000,0.487726
-0.971429,-1.000000,0.337634
-0.971429,-0.971429,0.333374
-0.971429,-0.942857,0.333096
-0.971429,-0.914286,0.341129
-0.971429,-0.885714,0.354847
-0.971429,-0.857143,0.376819
-0.971429,-0.828571,0.406657
-0.971429,-0.800000,0.437562
-0.971429,-0.771429,0.465930
-0.971429,-0.742857,0.489380
-0.971429,-0.714286,0.508255
-0.971429,-0.685714,0.520560
-0.971429,-0.657143,0.527354
-0.971429,-0.628571,0.530083
-0.971429,-0.600000,0.530048
-0.971429,-0.571429,0.529673
-0.971429,-0.542857,0.527209
-0.971429,-0.514286,0.524529
-0.971429,-0.485714,0.519241
