# u1-u3 slice at u2=-0.0  metric=q_varMS  grid=71
# axis_a=u1  axis_b=u3
u1,u3,q
-1.000000,-1.000000,0.209505
-1.000000,-0.971429,0.208829
-1.000000,-0.942857,0.205945
-1.000000,-0.914286,0.206317
-1.000000,-0.885714,0.203988
-1.000000,-0.857143,0.201391
-1.000000,-0.828571,0.201021
-1.000000,-0.800000,0.197957
-1.000000,-0.771429,0.196572
-1.000000,-0.742857,0.195812
-1.000000,-0.714286,0.194383
-1.000000,-0.685714,0.193949
-1.000000,-0.657143,0.192458
-1.000000,-0.628571,0.191707
-1.000000,-0.600000,0.188865
-1.000000,-0.571429,0.187015
-1.000000,-0.542857,0.186546
-1.000000,-0.514286,0.185537
-1.000000,-0.485714,0.183876
-1.000000,-0.457143,0.183093
-1.000000,-0.428571,0.180551
-1.000000,-0.400000,0.179274
-1.000000,-0.371429,0.176783
-1.000000,-0.342857,0.175499
-1.000000,-0.314286,0.174452
-1.000000,-0.285714,0.174138
-1.000000,-0.257143,0.171643
-1.000000,-0.228571,0.171466
-1.000000,-0.200000,0.170234
-1.000000,-0.171429,0.167942
-1.000000,-0.142857,0.168156
-1.000000,-0.114286,0.165103
-1.000000,-0.085714,0.165281
-1.000000,-0.057143,0.163477
-1.000000,-0.028571,0.160749
-1.000000,0.000000,0.161534
-1.000000,0.028571,0.159025
-1.000000,0.057143,0.157965
-1.000000,0.085714,0.156247
-1.000000,0.114286,0.156762
-1.000000,0.142857,0.154355
-1.000000,0.171429,0.154731
-1.000000,0.200000,0.151989
-1.000000,0.228571,0.151837
-1.000000,0.257143,0.151463
-1.000000,0.285714,0.147731
-1.000000,0.314286,0.148281
-1.000000,0.342857,0.146795
-1.000000,0.371429,0.146771
-1.000000,0.400000,0.145538
-1.000000,0.428571,0.144535
-1.000000,0.457143,0.143179
-1.000000,0.485714,0.141236
-1.000000,0.514286,0.141474
-1.000000,0.542857,0.140788
-1.000000,0.571429,0.138943
-1.000000,0.600000,0.138348
-1.000000,0.628571,0.138671
-1.000000,0.657143,0.137852
-1.000000,0.685714,0.136103
-1.000000,0.714286,0.135101
-1.000000,0.742857,0.134316
-1.000000,0.771429,0.133696
-1.000000,0.800000,0.132792
-1.000000,0.828571,0.133887
-1.000000,0.857143,0.130811
-1.000000,0.885714,0.130100
-1.000000,0.914286,0.130843
-1.000000,0.942857,0.128829
-1.000000,0.971429,0.130174
-1.000000,1.000000,0.126721
-0.971429,-1.000000,0.271191
-0.971429,-0.971429,0.270881
-0.971429,-0.942857,0.270217
-0.971429,-0.914286,0.269169
-0.971429,-0.885714,0.266270
-0.971429,-0.857143,0.267331
-0.971429,-0.828571,0.264810
-0.971429,-0.800000,0.264339
-0.971429,-0.771429,0.260821
-0.971429,-0.742857,0.259108
-0.971429,-0.714286,0.257014
-0.971429,-0.685714,0.256439
-0.971429,-0.657143,0.253282
-0.971429,-0.628571,0.254254
-0.971429,-0.600000,0.251210
-0.971429,-0.571429,0.249748
-0.971429,-0.542857,0.248435
-0.971429,-0.514286,0.246603
-0.971429,-0.485714,0.243854
-0.971429,-0.457143,0.242647
-0.971429,-0.428571,0.242169
-0.971429,-0.400000,0.239571
-0.971429,-0.371429,0.238166
-0.971429,-0.342857,0.237026
-0.971429,-0.314286,0.235035
-0.971429,-0.285714,0.232952
-0.971429,-0.257143,0.232019
-0.971429,-0.228571,0.229351
-0.971429,-0.200000,0.228938
-0.971429,-0.171429,0.225078
-0.971429,-0.142857,0.224989
-0.971429,-0.114286,0.222992
-0.971429,-0.085714,0.222103
-0.971429,-0.057143,0.219087
-0.971429,-0.028571,0.217488
-0.971429,0.000000,0.216585
-0.971429,0.028571,0.214909
-0.971429,0.057143,0.213248
-0.971429,0.085714,0.211149
-0.971429,0.114286,0.211632
-0.971429,0.142857,0.209080
-0.971429,0.171429,0.206257
-0.971429,0.200000,0.206275
-0.971429,0.228571,0.204664
-0.971429,0.257143,0.201963
-0.971429,0.285714,0.201208
-0.971429,0.314286,0.200893
-0.971429,0.342857,0.198153
-0.971429,0.371429,0.196082
-0.971429,0.400000,0.194942
-0.971429,0.428571,0.193951
-0.971429,0.457143,0.191498
-0.971429,0.485714,0.190356
-0.971429,0.514286,0.189669
-0.971429,0.542857,0.187938
-0.971429,0.571429,0.186579
-0.971429,0.600000,0.186010
-0.971429,0.628571,0.184808
-0.971429,0.657143,0.182324
-0.971429,0.685714,0.182069
-0.971429,0.714286,0.178720
-0.971429,0.742857,0.179073
-0.971429,0.771429,0.178150
-0.971429,0.800000,0.175694
-0.971429,0.828571,0.175790
-0.971429,0.857143,0.174318
-0.971429,0.885714,0.172947
-0.971429,0.914286,0.171851
-0.971429,0.942857,0.169542
-0.971429,0.971429,0.169603
-0.971429,1.000000,0.167941
-0.942857,-1.000000,0.334031
-0.942857,-0.971429,0.332122
-0.942857,-0.942857,0.331699
-0.942857,-0.914286,0.329513
-0.942857,-0.885714,0.327526
-0.942857,-0.857143,0.325090
-0.942857,-0.828571,0.324498
-0.942857,-0.800000,0.322411
-0.942857,-0.771429,0.321751
-0.942857,-0.742857,0.320008
-0.942857,-0.714286,0.317958
-0.942857,-0.685714,0.315029
-0.942857,-0.657143,0.313680
-0.942857,-0.628571,0.313756
-0.942857,-0.600000,0.312306
-0.942857,-0.571429,0.308708
-0.942857,-0.542857,0.308662
-0.942857,-0.514286,0.306795
-0.942857,-0.485714,0.303664
-0.942857,-0.457143,0.302585
-0.942857,-0.428571,0.301255
-0.942857,-0.400000,0.298686
-0.942857,-0.371429,0.297912
-0.942857,-0.342857,0.295640
-0.942857,-0.314286,0.294443
-0.942857,-0.285714,0.290054
-0.942857,-0.257143,0.290644
-0.942857,-0.228571,0.288350
-0.942857,-0.200000,0.287211
-0.942857,-0.171429,0.283596
-0.942857,-0.142857,0.282437
-0.942857,-0.114286,0.281694
-0.942857,-0.085714,0.280331
-0.942857,-0.057143,0.278060
-0.942857,-0.028571,0.276103
-0.942857,0.000000,0.273551
-0.942857,0.028571,0.272155
-0.942857,0.057143,0.269549
-0.942857,0.085714,0.267891
-0.942857,0.114286,0.265543
-0.942857,0.142857,0.264868
-0.942857,0.171429,0.261075
-0.942857,0.200000,0.260764
-0.942857,0.228571,0.258564
-0.942857,0.257143,0.258421
-0.942857,0.285714,0.256762
-0.942857,0.314286,0.252954
-0.942857,0.342857,0.250760
-0.942857,0.371429,0.250723
-0.942857,0.400000,0.247883
-0.942857,0.428571,0.246852
-0.942857,0.457143,0.244300
-0.942857,0.485714,0.242970
-0.942857,0.514286,0.242476
-0.942857,0.542857,0.239655
-0.942857,0.571429,0.239944
-0.942857,0.600000,0.235150
-0.942857,0.628571,0.234817
-0.942857,0.657143,0.233204
-0.942857,0.685714,0.231934
-0.942857,0.714286,0.229034
-0.942857,0.742857,0.227890
-0.942857,0.771429,0.226189
-0.942857,0.800000,0.224526
-0.942857,0.828571,0.222240
-0.942857,0.857143,0.221682
-0.942857,0.885714,0.219521
-0.942857,0.914286,0.219335
-0.942857,0.942857,0.216285
-0.942857,0.971429,0.215923
-0.942857,1.000000,0.215160
-0.914286,-1.000000,0.379713
-0.914286,-0.971429,0.377560
-0.914286,-0.942857,0.375702
-0.914286,-0.914286,0.374984
-0.914286,-0.885714,0.372617
-0.914286,-0.857143,0.372722
-0.914286,-0.828571,0.370157
-0.914286,-0.800000,0.368315
-0.914286,-0.771429,0.366218
-0.914286,-0.742857,0.365508
-0.914286,-0.714286,0.361818
-0.914286,-0.685714,0.362655
-0.914286,-0.657143,0.358700
-0.914286,-0.628571,0.356270
-0.914286,-0.600000,0.355938
-0.914286,-0.571429,0.355475
-0.914286,-0.542857,0.351223
-0.914286,-0.514286,0.351448
-0.914286,-0.485714,0.349056
-0.914286,-0.457143,0.348483
-0.914286,-0.428571,0.343632
-0.914286,-0.400000,0.343266
-0.914286,-0.371429,0.341372
-0.914286,-0.342857,0.340074
-0.914286,-0.314286,0.337142
-0.914286,-0.285714,0.335110
-0.914286,-0.257143,0.333942
-0.914286,-0.228571,0.332619
-0.914286,-0.200000,0.329845
-0.914286,-0.171429,0.326217
-0.914286,-0.142857,0.326364
-0.914286,-0.114286,0.324851
-0.914286,-0.085714,0.322668
-0.914286,-0.057143,0.320951
-0.914286,-0.028571,0.317735
-0.914286,0.000000,0.317250
-0.914286,0.028571,0.316232
-0.914286,0.057143,0.312371
-0.914286,0.085714,0.311126
-0.914286,0.114286,0.309713
-0.914286,0.142857,0.307457
-0.914286,0.171429,0.305200
-0.914286,0.200000,0.302285
-0.914286,0.228571,0.301878
-0.914286,0.257143,0.300374
-0.914286,0.285714,0.297616
-0.914286,0.314286,0.295976
-0.914286,0.342857,0.292960
-0.914286,0.371429,0.291766
-0.914286,0.400000,0.291093
-0.914286,0.428571,0.289416
-0.914286,0.457143,0.287827
-0.914286,0.485714,0.283216
-0.914286,0.514286,0.283481
-0.914286,0.542857,0.280020
-0.914286,0.571429,0.281042
-0.914286,0.600000,0.278949
-0.914286,0.628571,0.276918
-0.914286,0.657143,0.273307
-0.914286,0.685714,0.273014
-0.914286,0.714286,0.270917
-0.914286,0.742857,0.269455
-0.914286,0.771429,0.268831
-0.914286,0.800000,0.265757
-0.914286,0.828571,0.263571
-0.914286,0.857143,0.262796
-0.914286,0.885714,0.259932
-0.914286,0.914286,0.258704
-0.914286,0.942857,0.256878
-0.914286,0.971429,0.256022
-0.914286,1.000000,0.253640
-0.885714,-1.000000,0.404475
-0.885714,-0.971429,0.404846
-0.885714,-0.942857,0.401096
-0.885714,-0.914286,0.400011
-0.885714,-0.885714,0.396406
-0.885714,-0.857143,0.396682
-0.885714,-0.828571,0.393246
-0.885714,-0.800000,0.392469
-0.885714,-0.771429,0.390059
-0.885714,-0.742857,0.388962
-0.885714,-0.714286,0.388574
-0.885714,-0.685714,0.384573
-0.885714,-0.657143,0.383643
