iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.292558,-0.675076,-0.908644,-1.000000,-1.000000,-1.000000,0.020990,0.017369,0.000000,NaN
2,0.130292,0.153819,-0.325418,-1.000000,-1.000000,-1.000000,0.013261,0.015561,0.475000,NaN
3,-0.543459,-0.780486,-0.136898,-1.000000,-1.000000,-1.000000,0.034495,0.031118,0.000000,NaN
4,0.663478,-0.523994,0.928474,1.000000,1.000000,1.000000,0.024830,0.031365,0.197500,NaN
5,0.187723,-0.111135,-0.413170,1.000000,1.000000,1.000000,0.029756,0.031451,0.095000,NaN
6,0.855438,-0.241934,-0.742674,1.000000,1.000000,1.000000,0.029064,0.030499,0.000000,NaN
7,-0.264875,-0.103563,-0.361692,1.000000,1.000000,1.000000,0.027447,0.029813,0.167500,NaN
8,-0.736275,-0.256953,0.336815,1.000000,1.000000,1.000000,0.028794,0.029531,0.462500,NaN
9,0.523527,0.601729,0.515890,1.000000,1.000000,1.000000,0.036805,0.035576,0.000000,NaN
10,-0.635546,-0.341121,0.916332,0.141264,0.150338,-0.312819,0.360072,0.062502,0.187500,NaN
11,-0.572237,-0.083300,0.612826,0.141722,0.150356,-0.313220,0.359082,0.062250,0.000000,NaN
12,-0.727116,-0.299007,0.291984,0.141398,0.150132,-0.313873,0.356264,0.061970,0.562500,NaN
13,-0.155793,-0.749891,-0.519766,-0.755759,-0.284220,0.172990,0.450284,0.055805,0.000000,NaN
14,-0.233626,0.436226,-0.402799,-0.755004,-0.284142,0.175877,0.448050,0.055379,0.000000,NaN
15,0.450395,-0.434680,0.193062,-0.754298,-0.284069,0.178645,0.445836,0.054972,0.000000,NaN
16,-0.293722,-0.843098,-0.034916,-0.760017,-0.283616,0.191392,0.443325,0.054475,0.000000,NaN
17,-0.000980,-0.445714,0.503738,-0.759370,-0.283551,0.193689,0.441154,0.054113,0.000000,NaN
18,0.080903,0.299394,-0.982162,-0.761131,-0.283154,0.202533,0.439143,0.053662,0.142500,NaN
19,0.809292,-0.081666,0.733734,-0.761502,-0.283066,0.203421,0.437005,0.053348,0.000000,NaN
20,0.418758,-0.648159,0.084819,-0.811369,-0.282019,0.213109,0.425010,0.052647,0.000000,NaN
21,-0.587574,-0.376003,0.617805,-0.810331,-0.281987,0.214860,0.422891,0.052326,0.015000,NaN
22,0.514097,-0.747076,-0.937435,-0.809396,-0.273488,0.259105,0.411705,0.051643,0.000000,NaN
23,0.702289,0.652294,0.113040,-0.808655,-0.273393,0.259863,0.409442,0.051403,0.000000,NaN
24,-0.752685,-0.489255,-0.989669,-0.807936,-0.273300,0.260599,0.407195,0.051169,0.002500,NaN
25,-0.533403,-0.794385,-0.100299,-0.805578,-0.273051,0.265925,0.404544,0.050822,0.000000,NaN
26,0.256445,0.695294,-0.532187,-0.804981,-0.272969,0.266501,0.402353,0.050605,0.000000,NaN
27,-0.235745,-0.586579,0.937810,-0.804416,-0.272888,0.267061,0.400182,0.050393,0.145000,NaN
28,0.109163,-0.155101,-0.584288,-0.806036,-0.272708,0.268675,0.398330,0.050259,0.245000,NaN
29,0.297273,-0.195275,0.612213,-0.797763,-0.271143,0.242327,0.403992,0.050667,0.000000,NaN
30,0.054179,0.036934,-0.249132,-0.852651,-0.276811,0.248777,0.406645,0.052241,0.857500,NaN
31,0.801234,-0.063897,-0.486230,0.065550,0.047787,-0.357469,0.758294,0.054740,0.000000,NaN
