iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,-0.989604,-0.950070,0.967845,-0.561791,-1.000000,-0.414092,0.024109,0.020295,0.000000,NaN
2,0.282921,-0.990308,-0.992287,-0.236598,-1.000000,-1.000000,0.020290,0.021630,0.000000,NaN
3,0.999155,0.935373,0.990700,-0.769142,-1.000000,-0.498655,0.011869,0.017475,0.000000,NaN
4,-0.949902,0.961369,0.982696,-0.751367,-1.000000,-0.481830,0.011277,0.016821,0.000000,NaN
5,-0.985693,0.992619,-0.962096,-0.750278,-1.000000,-0.468931,0.010832,0.016298,0.000000,NaN
6,-0.954448,-0.986046,-0.978260,-0.708963,-1.000000,-0.436775,0.010438,0.015668,0.000000,NaN
7,0.990626,0.971614,-0.977461,-0.337543,-0.672178,-0.292007,0.007586,0.011707,0.000000,NaN
8,0.986378,-0.909524,0.968156,-0.333136,-0.672434,-0.294865,0.007245,0.011412,0.000000,NaN
9,-0.463699,-0.999163,-0.048442,-0.319580,-0.672283,-0.287796,0.007110,0.011168,0.000000,NaN
10,-0.215228,-0.007334,0.992039,-0.160420,-0.485515,-0.422643,0.004226,0.008128,0.257500,NaN
11,-0.086764,-0.037580,0.988631,-0.198096,-0.015340,1.000000,0.015214,0.016756,0.377500,NaN
12,-0.200113,-0.016687,0.999910,-0.133094,-0.027594,1.000000,0.046884,0.019427,0.180000,NaN
13,-0.185795,-0.021552,0.984841,-0.144366,-0.025590,1.000000,0.060432,0.018466,0.167500,NaN
14,-0.176318,-0.010185,0.993610,-0.148067,-0.025304,1.000000,0.070379,0.017517,0.302500,NaN
15,-0.102415,-0.017008,0.991042,-0.149194,-0.022968,1.000000,0.090431,0.017590,0.575000,NaN
16,-0.083946,-0.107096,0.985398,-0.124090,-0.022473,1.000000,0.147110,0.019281,0.000000,NaN
17,-0.979818,0.085137,0.973920,-0.398090,0.245999,1.000000,0.021195,0.014952,0.000000,NaN
18,0.988325,-0.953536,-0.824468,-0.263203,0.300583,1.000000,0.017025,0.013786,0.000000,NaN
19,-0.065925,0.983808,0.983145,-0.263807,0.299874,1.000000,0.016461,0.013592,0.000000,NaN
20,-0.079658,-0.005942,0.724195,-0.098415,-0.015867,0.991497,0.411606,0.051877,0.782500,NaN
21,-0.070689,-0.011016,0.894076,-0.078123,-0.003929,0.725947,0.658688,0.052452,0.702500,NaN
22,-0.036377,0.002379,0.834172,-0.075094,-0.003736,0.743980,0.697207,0.048369,0.900000,NaN
23,-0.051427,0.020073,0.806305,-0.040977,0.003959,0.800466,0.861101,0.042967,0.887500,NaN
24,-0.061151,0.012878,0.453890,-0.045151,0.010127,0.792448,0.898033,0.040808,0.940000,NaN
25,-0.005899,0.013456,0.529757,-0.051914,0.011259,0.558112,0.935768,0.035889,0.970000,NaN
26,-0.008467,0.008641,0.087466,-0.024424,0.012907,0.467281,0.982401,0.046579,0.997500,NaN
27,-0.030394,0.022640,-0.052948,-0.021002,0.010702,0.241723,1.014425,0.040973,0.920000,0.982500
28,0.024216,0.021315,-0.454650,-0.008349,0.009215,0.157537,0.998413,0.013773,0.905000,NaN
29,0.058977,0.017782,0.350372,-0.004837,0.010482,0.124276,0.999253,0.019691,0.927500,0.997500
30,0.092076,-0.017928,-0.329669,0.007368,0.006174,0.099789,1.003780,0.016973,0.837500,1.000000
