iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.532861,-0.226893,0.005745,-0.297641,-0.320232,-0.199262,0.107756,0.035800,0.000000,NaN
2,-0.556981,0.638617,0.601193,-0.297807,-0.320573,-0.199767,0.102466,0.034899,0.000000,NaN
3,0.701132,0.338763,0.310930,-0.296892,-0.326334,-0.203690,0.096453,0.034017,0.000000,NaN
4,-0.484121,0.240986,0.891507,-0.297138,-0.326491,-0.204095,0.092120,0.033234,0.000000,NaN
5,0.712393,0.021132,-0.472918,-0.297443,-0.326406,-0.204379,0.088234,0.032500,0.000000,NaN
6,0.479572,0.376977,-0.700441,-0.297664,-0.326609,-0.204758,0.084615,0.031812,0.000000,NaN
7,-0.582728,0.629212,0.190277,-0.297809,-0.326451,-0.205163,0.081331,0.031164,0.000000,NaN
8,-0.439728,0.238933,0.273462,-0.295304,-0.337723,-0.208796,0.076383,0.030396,0.000000,NaN
9,-0.369801,-0.538660,-0.425999,-0.292944,-0.352023,-0.222681,0.069629,0.029264,0.315000,NaN
10,0.780394,-0.148554,0.514448,-1.000000,-0.299530,-1.000000,0.017728,0.016296,0.000000,NaN
11,0.551170,0.169596,-0.067828,-1.000000,-0.299283,-1.000000,0.016972,0.015979,0.000000,NaN
12,-0.005432,-0.882127,-0.047679,-1.000000,-0.305573,-1.000000,0.016358,0.015656,0.000000,NaN
13,-0.064982,-0.469911,0.486614,-1.000000,-0.304410,-1.000000,0.016225,0.015092,0.047500,NaN
14,-0.975486,-0.140172,-0.075801,-1.000000,-0.299714,-1.000000,0.015840,0.014818,0.000000,NaN
15,-0.553517,-0.463345,-0.945191,-1.000000,-0.533989,-1.000000,0.013577,0.013393,0.427500,NaN
16,-0.223386,-0.153786,-0.462170,-0.923361,-0.396910,-1.000000,0.031351,0.016589,0.000000,NaN
17,-0.834457,0.067241,0.226946,-1.000000,-0.570091,-1.000000,0.029847,0.016969,0.000000,NaN
18,-0.802033,-0.861319,-0.559678,-1.000000,-0.575731,-1.000000,0.028825,0.016655,0.000000,NaN
19,-0.670152,-0.968123,-0.919817,-0.935652,-0.272965,-1.000000,0.017821,0.015094,0.000000,NaN
20,0.179200,-0.467528,0.847170,-1.000000,-0.152621,-1.000000,0.015730,0.016108,0.000000,NaN
21,-0.867064,0.874842,0.280631,-1.000000,-0.152849,-1.000000,0.015324,0.015891,0.000000,NaN
22,-0.688397,-0.040682,-0.525766,-0.979172,-0.184786,-1.000000,0.014686,0.015281,0.000000,NaN
23,0.927259,0.622671,0.614755,1.000000,1.000000,1.000000,0.010974,0.020609,0.000000,NaN
24,-0.449306,0.542261,0.885177,-0.761009,-0.399230,-1.000000,0.009530,0.009745,0.000000,NaN
25,-0.626839,-0.339181,-0.376265,1.000000,1.000000,-1.000000,0.010155,0.018401,0.360000,NaN
