iter,x_acq_u1,x_acq_u2,x_acq_u3,x_rec_u1,x_rec_u2,x_rec_u3,m_rec,s_rec,y_acq,y_check
1,0.383841,0.209951,0.912036,0.238727,0.217746,0.943089,0.369277,0.064224,0.000000,NaN
2,-0.982379,-0.525244,0.204644,-0.684165,-0.577532,0.144965,0.192844,0.059967,0.000000,NaN
3,-0.408654,0.259933,0.995757,-0.185690,0.238076,0.948847,0.143906,0.075587,0.000000,NaN
4,-0.363878,-0.633738,0.772666,-0.480640,-0.605317,0.120367,0.134400,0.052971,0.000000,NaN
5,-0.144817,-0.515714,-0.952286,-0.532741,-0.593200,-0.135537,0.103765,0.051282,0.027500,NaN
6,0.984733,-0.998979,0.835490,-0.562366,-0.597465,-0.061856,0.092587,0.043862,0.000000,NaN
7,0.981688,-0.164832,-0.927411,-0.561564,-0.597533,-0.064045,0.089780,0.043100,0.000000,NaN
8,0.991114,0.589878,-0.985831,-0.559838,-0.597298,-0.067310,0.087152,0.042388,0.000000,NaN
9,0.951779,0.995542,-0.948764,-0.558880,-0.597162,-0.069073,0.084532,0.041685,0.000000,NaN
10,-0.989648,-0.998711,-0.994095,-1.000000,-1.000000,-1.000000,0.009052,0.021825,0.000000,NaN
11,-0.964229,0.965584,0.925882,-1.000000,1.000000,1.000000,0.006632,0.022599,0.000000,NaN
12,0.771935,-0.995839,-0.997921,1.000000,-1.000000,-1.000000,0.005985,0.019928,0.000000,NaN
13,-0.961921,-0.981429,0.995694,-0.112834,-0.393849,-1.000000,0.004231,0.010407,0.000000,NaN
14,0.997820,0.932740,0.189731,-0.115153,-0.393426,-1.000000,0.004128,0.010220,0.000000,NaN
15,0.129426,0.999749,-0.979094,-0.114630,-0.393036,-1.000000,0.003999,0.010046,0.000000,NaN
16,0.975717,-0.936751,-0.080197,-0.118217,-0.399891,-1.000000,0.003828,0.009785,0.000000,NaN
17,0.955023,0.885804,0.988054,-0.122127,-0.397087,-1.000000,0.003597,0.009568,0.000000,NaN
18,0.281432,0.026156,-0.118807,-0.122181,-0.397871,-1.000000,0.003484,0.009418,0.002500,NaN
19,0.149844,0.001677,-0.987291,-0.103458,-0.373917,-1.000000,0.003512,0.009434,0.512500,NaN
20,0.172302,-0.092061,-0.992144,0.132410,-0.033529,-1.000000,0.022184,0.014302,0.297500,NaN
21,0.047573,-0.044402,-0.999255,0.148315,-0.044658,-1.000000,0.035872,0.014526,0.850000,NaN
22,0.194664,-0.041187,-0.994727,0.111102,-0.022056,-1.000000,0.150686,0.018229,0.240000,NaN
23,0.194976,-0.044346,-0.999676,0.116003,-0.021681,-1.000000,0.156635,0.017518,0.192500,NaN
24,0.091561,0.060313,-0.985145,0.118158,-0.021892,-1.000000,0.157847,0.016723,0.540000,NaN
25,0.157369,-0.023332,-0.998546,0.116093,-0.005640,-1.000000,0.188501,0.016965,0.385000,NaN
26,0.166781,-0.045276,-0.996995,0.119470,-0.004526,-1.000000,0.201323,0.016659,0.395000,NaN
27,0.049820,-0.038057,-0.997556,0.122765,-0.004965,-1.000000,0.213394,0.016368,0.852500,NaN
28,0.099952,0.008488,-0.971463,0.100680,-0.001461,-1.000000,0.298005,0.016587,0.640000,NaN
29,0.139703,0.056177,-0.975005,0.099562,0.004723,-1.000000,0.325317,0.016482,0.512500,NaN
30,0.038716,-0.332612,-0.725233,0.043646,-0.107609,-0.971756,0.838368,0.037450,0.090000,NaN
31,0.043408,0.278871,-0.863973,0.047832,0.108394,-1.000000,0.848459,0.049868,0.095000,NaN
