iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,m_rec_lcb,surrogate_confident,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,y_acq_second,y_rec_check,y_rec_second,q_det_rec,q_det_acq,acq_source,kappa_eff,supported_q,supported_count,health_bad,stagnation_count,restart_id,restart_failure_count,restart_signal,restart_best_signal,restart_triggered,restart_seed,boundary_streak,scout_remaining,stop_supported,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,stopped_early
1,Inf,13,0.98795182025282602,0.98795182025282602,0.042264287174374693,0.94568753307845133,false,0.0082389697574365029,-0.005615058848458053,-0.020141595207113578,0.00035463269908916906,0.00097788996064074318,0.096155115400867519,0.98113609736622531,0.055030113027228815,1.0856933121179599,0.99928033142374972,NaN,NaN,NaN,0.99773019328639467,0.99928033142374972,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.94568753307845133,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
2,Inf,14,1,1.0013435736558447,0.013603662603179485,0.98639633739682053,false,0.005457926762427844,-0.0024456623843257686,0.047208366073490424,0.019447690196738684,0.00030577959998220883,-0.093549399309070275,0.99130163943325889,0.041269026899970834,1.0697127905432036,0.98970734480342726,NaN,NaN,NaN,0.99899643385773751,0.98970734480342726,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98639633739682053,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
3,Inf,15,1,1.0010072734297768,0.009404835165636144,0.99059516483436383,true,0.0051372433598474605,-0.0024944116174281557,0.060569521157218129,-0.010960266254054135,-0.01179239214509939,-0.097518684793918772,0.98102640143211572,0.040268659993886555,1.0575368554205002,0.99273446427008305,NaN,NaN,NaN,0.99879443490838604,0.99273446427008305,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99059516483436383,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
4,Inf,16,1,1.0032649140450136,0.011341002026421122,0.98865899797357892,false,0.00075733405512653433,-0.0048347881085024393,0.0093640011240580818,-0.011387162631494446,0.0049934475549898993,-0.088007120365166766,0.98944873011892254,0.025028920725269202,1.0370036794969339,0.99088319999798169,NaN,NaN,NaN,0.99917399375522353,0.99088319999798169,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98865899797357892,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
5,Inf,17,1,1.0032669497417983,0.011213002108551867,0.98878699789144808,false,0.00033551541931393664,-0.0044925439480570529,0.0044475891804510994,-0.012994843041367554,-0.010172965154375019,0.090395640479492251,0.99245269648578027,0.021429193051180694,1.0331681632830236,0.98783116536925153,NaN,NaN,NaN,0.99936773474829677,0.98783116536925153,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98878699789144808,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
6,Inf,18,1,1.0026565293624916,0.01063930615431051,0.98936069384568948,false,0.0013132683428984226,-0.0036204419219320796,-0.0064056953948135303,0.013379497393215534,0.018462106543104179,0.096595054702624833,0.96743255862497723,0.034564112786151902,1.0331043729186657,0.97987842164156735,NaN,NaN,NaN,0.99963854558832199,0.97987842164156735,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.98936069384568948,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
7,Inf,19,1,1.0014490303205539,0.0097991131616577947,0.99020088683834218,true,0.0015119991033543728,-0.0031093579913843306,-0.0031718415733079921,0.045418920651688899,0.0066199368093937255,0.095793981128537459,0.95976558054000649,0.038608593478727173,1.0331219081495882,0.96190361179241779,NaN,NaN,NaN,0.99973366118934015,0.96190361179241779,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99020088683834218,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
8,Inf,20,1,1.001383496821181,0.0095824975972201507,0.99041750240277981,true,0.0015774418982451464,-0.0030737068770003537,-0.0013667888357983755,0.013859171254624186,-0.0091915603811403707,0.038775303789432197,0.99442042374100381,0.014800195817958149,1.0225407957951242,0.99131778874956977,NaN,NaN,NaN,0.99973704061330193,0.99131778874956977,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99041750240277981,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
9,Inf,21,1,1.0005768471389898,0.0078499652574916153,0.9921500347425084,true,0.00055646698747945588,-0.0012577019947149417,0.0081830436275518673,-0.022805770943764653,0.010402559466720002,0.07610320913558502,0.97778364955566754,0.022306838100218294,1.0201666419460822,0.98526529414673503,NaN,NaN,NaN,0.99996425420186563,0.98526529414673503,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.9921500347425084,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
10,Inf,22,1,1.0023931206663863,0.0072563902252620873,0.99274360977473797,true,-0.0010753857009073444,-0.0009401323485225319,0.0042065100981459316,-0.0042427165828312907,0.00042299496380060475,0.0071853712408936621,1.0020577690856329,0.007436260556108458,1.016186664142239,0.99945309395980941,NaN,NaN,NaN,0.9999185176956088,0.99945309395980941,ucb,1.8999999999999999,-Inf,0,false,0,0,0,0.99274360977473797,-Inf,false,0,0,0,true,0,0,0,-0,-0,-0,false
