iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,1300000,13,0.66433475557694488,0.66433475557694488,0.051399433003890473,-0.013997666637425276,-0.10481136213100746,-0.15189239041686897,-0.47249931043796867,-0.077430454418831118,-0.48763309291500234,0.61918049995266988,0.10590920304034306,0.82040798572932172,0.30459000000000003,0.73870656302392412,0.30412879319383035,0,0,0,-0,-0,-0
2,1400000,14,0.6805799588275151,0.6805799588275151,0.062068112409368784,0.28465278017501983,-0.12278974760233161,0.066699817410334886,0.47531588330200503,-0.099373031098872078,0.49407724949190679,0.66092248361889638,0.10110789588647418,0.85302748580319732,0.21023999999999998,0.33285540247052192,0.20981754482331483,0,0,0,-0,-0,-0
3,1500000,15,0.66727265150860615,0.66727265150860615,0.029357324652864013,-0.056200719767430275,-0.13284748766405044,-0.34211565444101855,0.4914840592149019,-0.0036895159747660777,-0.16543647064588862,0.62012278920511865,0.092381287536723047,0.79564723552489247,0.17158000000000007,0.6276504705939594,0.17218342366346495,0,0,0,-0,-0,-0
4,1600000,16,0.66278786886752772,0.66278786886752772,0.026089163010612534,-0.089766633756583003,-0.13233423139170247,-0.30549738863112413,-0.25529487773434467,-0.031522640238137001,0.4860541585654734,0.61312187076752078,0.082087807073843874,0.76908870420782416,0.52470000000000006,0.57646749464370806,0.52543701644668839,0,0,0,-0,-0,-0
5,1700000,17,0.6631073998670558,0.6631073998670558,0.026478615822086878,-0.07221243360381939,-0.13204058561506682,-0.32409724315135108,-0.045852356044236098,-0.1425863940986658,-0.48645589429837144,0.63999320747145827,0.056328336535932229,0.74701704688972947,0.62853999999999999,0.60727285482965232,0.62776738455984071,0,0,0,-0,-0,-0
6,1800000,18,0.658989298481925,0.658989298481925,0.01314204922128067,-0.075675237116829358,-0.13086935755516019,-0.30021657419622733,-0.42557773125710074,0.092478963961855731,0.48428245977309525,0.60979641541059093,0.07324339434499888,0.74895886466608874,0.34558,0.60245078872979019,0.34406343869974187,0,0,0,-0,-0,-0
7,1900000,19,0.65896860523195344,0.65896860523195344,0.012735188359424046,-0.074497018741272888,-0.13092940870413958,-0.29917922366360405,0.38670961768696688,0.14232243816222989,0.36575667586074689,0.60767911795989926,0.084364705330099682,0.76797205808708868,0.33875,0.60361017479027834,0.33936244424832696,0,0,0,-0,-0,-0
8,2000000,20,0.65894627811740614,0.65894627811740614,0.012350650124940687,-0.073203406751086789,-0.13095008039443365,-0.29894669697582171,-0.47743392925511707,0.14370382763771272,-0.14919480486897463,0.61852642272634284,0.084720941863901861,0.77949621226775634,0.24692999999999998,0.60527245157603382,0.24637678576004518,0,0,0,-0,-0,-0
9,2100000,21,0.65895430904288532,0.65895430904288532,0.012274536083412309,-0.073701155139083582,-0.13091653874159195,-0.29975075791477213,-0.36063930470324856,-0.14093236493623662,-0.13869325911747121,0.61136391314555127,0.057880692832542734,0.72133722952738244,0.31345000000000001,0.60489421616768912,0.31121512863697398,0,0,0,-0,-0,-0
10,2200000,22,0.64791324337242018,0.64791324337242018,0.012812270008804331,-0.038976947177405095,-0.12033953397599423,-0.20989405545005665,-0.010718779647739263,-0.20931469339615272,-0.41010890959339918,0.57768352897794939,0.10554653199565792,0.77822193976969944,0.42785999999999991,0.67029813441433239,0.42856261943534668,0,0,0,-0,-0,-0
11,2300000,23,0.65406549147332416,0.65406549147332416,0.023458879391673418,-0.046245463369200088,-0.096550500008523471,-0.15185802550558208,-0.053881939256761324,0.1749429989598883,0.19707052587253648,0.58083786581053454,0.10193466543546835,0.77451373013792435,0.62966,0.75598953988313577,0.62651436182065745,0,0,0,-0,-0,-0
12,2400000,24,0.66327083024600098,0.66327083024600098,0.031988627427902372,-0.048035699747144243,-0.042567851389134083,-0.089970570303717481,-0.054129357770691611,-0.19290979793351748,0.45989480343229117,0.60365064119522183,0.087433908572540867,0.76977506748304947,0.27427000000000001,0.93118481821290666,0.272920009304362,0,0,0,-0,-0,-0
13,2500000,25,0.71238220312323552,0.71238220312323552,0.056417736392198194,-0.041772625441638025,0.092561531618474552,-0.32719294872580734,-0.037190445276472639,0.14703054053823195,-0.47242533171685608,0.69845226142342098,0.07462241783839367,0.84023485531636899,0.62378999999999996,0.77790162818015962,0.62426967914065412,0,0,0,-0,-0,-0
14,2600000,26,0.67546715604696683,0.67546715604696683,0.026306572327778853,-0.042075791368617173,-0.018156965167188028,-0.29016780740097731,-0.060683996778940319,0.47641941255494502,-0.36824271503758044,0.57638572082201855,0.10206351412386691,0.77030639765736564,0.45276000000000005,0.9737824057278488,0.45011132281742738,0,0,0,-0,-0,-0
15,2700000,27,0.68130569274587138,0.68130569274587138,0.026516108919553593,-0.041704186795714887,-0.0045922588332387177,-0.27119671416484681,0.18039927235312669,0.27842444979826375,-0.23659386024532103,0.5272967702711352,0.12020157192974912,0.75567975693765854,0.50604000000000005,0.97608113703867783,0.50610619711997329,0,0,0,-0,-0,-0
16,2800000,28,0.68125178264441377,0.68125178264441377,0.026193406141538565,-0.041693301382995401,-0.0047229976882839277,-0.27122943789725912,0.20826259574987538,-0.4696969668788018,-0.16138772441277127,0.53661047245041327,0.11471317601046624,0.75456550687029911,0.47340000000000004,0.97612267164556232,0.47408001364388874,0,0,0,-0,-0,-0
17,2900000,29,0.68122339496992512,0.68122339496992512,0.02578301059970993,-0.041688504236057598,-0.0047833517762230745,-0.27124781429992417,-0.23183997350563801,0.46845174868794559,-0.32188033976543551,0.52417885917061335,0.11843413232146358,0.74920371058139412,0.31896999999999998,0.97614071720656437,0.31650007227063326,0,0,0,-0,-0,-0
18,3000000,30,0.68123816483852018,0.68123816483852018,0.025457456712944821,-0.041690442588432929,-0.0048070772615466982,-0.27134737964611949,-0.20875538307938535,-0.28785756978995947,0.37547397497506374,0.54310877966409876,0.10453049237160296,0.74171671517014437,0.39884999999999993,0.97614179150260527,0.39882794767347884,0,0,0,-0,-0,-0
19,3100000,31,0.68126277483708064,0.68126277483708064,0.025037380090836298,-0.041718404127495681,-0.004630262819046182,-0.27132035114457626,0.22811752350680603,0.24947657979918447,0.42949463847745162,0.5473432680866912,0.098455864328642964,0.73440941031111284,0.56640999999999997,0.97607409494329878,0.56272687618656825,0,0,0,-0,-0,-0
20,3200000,32,0.73976782130931318,0.73976782130931318,0.082416524010777883,-0.0066688089258194923,-0.06436503664218661,-0.46734716072844867,0.0099346542593008458,-0.027254006415035059,-0.42681730488166281,0.73028413581209461,0.10127340566923562,0.92270360658364226,0.98226000000000002,0.92358990678118968,0.98170001262785822,0,0,0,-0,-0,-0
21,3300000,33,0.98385377514669881,0.98385377514669881,0.011170404700079245,0.011850027964500003,-0.022655092479787396,-0.46448762433825169,-0.0011130414517221965,0.023821145829809209,-0.033510155471417891,0.89454177776841326,0.089964875469153258,1.0654750411598044,0.98055999999999999,0.98171451322830705,0.9805586085093867,0,0,0,-0,-0,-0
22,3400000,34,1,1.0003542415088251,0.030090281876310059,0.0069760713823223399,-0.00069797459773842947,-0.25518107763455161,0.064715429011274139,0.015063986583468969,-0.299384014352164,0.94011200572406595,0.082704540586208214,1.0972506328378615,0.93928,0.99198046823449282,0.93900119390914094,0,0,0,-0,-0,-0
23,3500000,35,1,1.0001623398809418,0.03125401395329748,0.0066527226512890789,-0.00074629284085864537,-0.25523719480163659,-0.057033560115904214,-0.0062504977036046405,-0.49627278210434378,0.92304343954773804,0.090956886256993386,1.0958615234360254,0.94469999999999998,0.99204228963519225,0.94595777476648535,0,0,0,-0,-0,-0
