seed,initial_seed,N_shots,total_shots,n_train,q_det,q_rec,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3,ell1,ell2,ell3,sigma_f,c,elapsed_seconds
670733,670733,1000,113000,112,0.9991261173652195,0.998,0,0,0,-0,-0,-0,0.51678654900522503,0.33481829034256511,1.5,1.2917070457511934,0.71857159195267339,521.69739508628845
558664,558664,1000,113000,112,0.9999533551207378,1,0,0,0,-0,-0,-0,0.49620054435214295,0.34057175814352847,1.5,1.0395400432848039,0.67068499852226882,521.6669909954071
5937,5937,1000,113000,112,0.99880166883460819,0.999,0,0,0,-0,-0,-0,0.5206754750695195,0.38820580778668462,1.5,1.3370495467233154,0.79751001795704846,522.5414891242981
359405,359405,1000,113000,112,0.99986113726632508,0.999,0,0,0,-0,-0,-0,0.53546525008487234,0.33009460612295427,1.5,1.3239910853964336,0.86426144365722979,524.91381001472473
250215,250215,1000,113000,112,0.99884661101147354,0.998,0,0,0,-0,-0,-0,0.4849599290339543,0.31260949438504448,1.5,1.1689351598257784,0.46018746554070372,528.93723201751709
150918,150918,1000,113000,112,0.99982183302924743,1,0,0,0,-0,-0,-0,0.52655961059349554,0.34729960759496054,1.5,1.128733780107998,0.6728596424180332,533.04961109161377
849665,849665,1000,113000,112,0.99936685264985081,0.999,0,0,0,-0,-0,-0,0.55773373083879263,0.33390860824361962,1.5,1.1370708432662102,0.82610736039123345,537.11400508880615
400294,400294,1000,113000,112,0.99992140799062046,1,0,0,0,-0,-0,-0,0.59337299994404713,0.36397608182893859,1.5,1.407102119489098,1.0050635069704268,539.88196897506714
438880,438880,1000,113000,112,0.99971821568398123,0.999,0,0,0,-0,-0,-0,0.6738566672815105,0.3293268809697541,1.5,1.2646325124346209,0.59843236229560282,649.7848801612854
981559,981559,1000,113000,112,0.9997837124741531,1,0,0,0,-0,-0,-0,0.5834469559665959,0.33269727930121712,1.5,1.2740349297762505,0.94658897175132972,749.51087307929993
615903,615903,1000,113000,112,0.99742740947623132,0.999,0,0,0,-0,-0,-0,0.64779080252913313,0.31328384992978403,1.5,1.2764943945590033,0.56820528911899637,804.64429497718811
714078,714078,1000,113000,112,0.99856987481297621,1,0,0,0,-0,-0,-0,0.52150595048400361,0.32113831848160318,1.5,0.92915263164867823,0.69309979884378126,883.31345510482788
225142,225142,1000,113000,112,0.99751037702621193,0.999,0,0,0,-0,-0,-0,0.53547967852432909,0.32589677046604126,1.5,0.98820866233364757,0.89757382536808528,932.93767595291138
473966,473966,1000,113000,112,0.99978560350458834,1,0,0,0,-0,-0,-0,0.53302391855880582,0.33546642194581044,1.5,1.2837962746754088,0.61575977164640838,935.23606109619141
909858,909858,1000,113000,112,0.99948996942135526,1,0,0,0,-0,-0,-0,0.51402980301371792,0.32341784433162146,1.5,1.1395849600327093,0.68373523049363649,936.70674991607666
318670,318670,1000,113000,112,0.99999806817775638,1,0,0,0,-0,-0,-0,0.59485295324005971,0.30318168861733902,1.5,1.2866004470048544,1.1738263927933177,940.43689298629761
963284,963284,1000,113000,112,0.99955792615092043,1,0,0,0,-0,-0,-0,0.57998458923808915,0.37311381901705831,1.5,1.2602068885535442,0.66719577495553972,942.36307096481323
150574,150574,1000,113000,112,0.99931840437463593,0.999,0,0,0,-0,-0,-0,0.51561903873406656,0.32996229217968259,1.5,1.3414890074566932,0.9232688025383432,947.66971206665039
473867,473867,1000,113000,112,0.99988321144826631,1,0,0,0,-0,-0,-0,0.48550548835228008,0.34427055197947237,1.5,1.0341738003683156,0.85247106180975107,951.11051201820374
61646,61646,1000,113000,112,0.9993972519206713,0.999,0,0,0,-0,-0,-0,0.58718369040785301,0.35161591056658681,1.5,1.2623389909005629,0.88924315132257425,502.4366340637207
902578,902578,1000,113000,112,0.99981103991209663,1,0,0,0,-0,-0,-0,0.57947357063817917,0.32318762480930519,1.5,1.241596208314496,0.73599144128258276,503.68364715576172
197255,197255,1000,113000,112,0.99982611868572524,1,0,0,0,-0,-0,-0,0.59821757183720514,0.33155056181231596,1.5,1.3104186807156579,0.79592878162330993,503.05149698257446
462583,462583,1000,113000,112,0.99969966315213632,0.999,0,0,0,-0,-0,-0,0.47624828792732876,0.30057299354254624,1.5,1.113635950763274,0.59982028801031906,508.71496319770813
184672,184672,1000,113000,112,0.99781852592992981,1,0,0,0,-0,-0,-0,0.57003690277639951,0.34530612151891671,1.5,1.2592153726870399,0.8258053335745662,512.26948285102844
831702,831702,1000,113000,112,0.9998620123531895,1,0,0,0,-0,-0,-0,0.53218941289975263,0.34545539835271849,1.5,1.1789480412812343,0.92341624768602482,513.21078586578369
720308,720308,1000,113000,112,0.99937548509951279,1,0,0,0,-0,-0,-0,0.54787515487150862,0.33376063789339205,1.5,1.0782749629579436,0.66862396718339556,513.26519298553467
16729,16729,1000,113000,112,0.99980286500380289,0.999,0,0,0,-0,-0,-0,0.51097019415787548,0.30076977704328084,1.5,1.2017643241427569,0.61433539079511579,517.86723613739014
387749,387749,1000,113000,112,0.99944971173662811,0.999,0,0,0,-0,-0,-0,0.58075618508949323,0.31628150566400415,1.5,1.3050177284301681,0.78053543893142463,504.42730593681335
955377,955377,1000,113000,112,0.99943918229814521,1,0,0,0,-0,-0,-0,0.52136034297307376,0.3534054721023227,1.5,1.1882974804847912,0.83730301416379127,905.47801685333252
419030,419030,1000,113000,112,0.99988065135239279,1,0,0,0,-0,-0,-0,0.54351687314359176,0.32784956793637632,1.5,1.2414099650533124,0.73127436306321969,499.85253190994263
888571,888571,1000,113000,112,0.99995236166779633,1,0,0,0,-0,-0,-0,0.58142223692485295,0.39133980282089392,1.5,1.3318362847788439,0.61663354790127889,506.66156983375549
567906,567906,1000,113000,112,0.99956028063800317,0.998,0,0,0,-0,-0,-0,0.40834502761621033,0.34107136012305361,1.5,0.82457142115849502,0.7121725424051264,508.82502794265747
968356,968356,1000,113000,112,0.99854319148437798,0.999,0,0,0,-0,-0,-0,0.54419274157318587,0.32483701362290734,1.5,1.019220554503445,0.79796908309555492,508.96291494369507
682041,682041,1000,113000,112,0.99968772297930009,1,0,0,0,-0,-0,-0,0.65237471373464651,0.35030948631484171,1.5,1.362214789558732,0.72916345970379137,515.79138088226318
184183,184183,1000,113000,112,0.99980562647779936,1,0,0,0,-0,-0,-0,0.50035506745841862,0.33091242688772876,1.5,1.2426679718037155,0.77462429720622372,515.0294029712677
228167,228167,1000,113000,112,0.99948321138542318,0.999,0,0,0,-0,-0,-0,0.55503121029797942,0.34072853496466987,1.5,1.3847952189062351,0.91706232508178664,520.1840980052948
644045,644045,1000,113000,112,0.99985488251755972,1,0,0,0,-0,-0,-0,0.58401805412365293,0.31931069990212235,1.5,1.2956706910244455,0.92721425306665606,515.04028081893921
215846,215846,1000,113000,112,0.99992003034727261,1,0,0,0,-0,-0,-0,0.58889685554343152,0.32850622708298993,1.5,1.2643715283829637,0.78464677019456908,909.08746409416199
795829,795829,1000,113000,112,0.99981255708912264,1,0,0,0,-0,-0,-0,0.50988137560745395,0.28305941004680774,1.5,1.1338193230572231,0.73728475371121205,507.5144350528717
312561,312561,1000,113000,112,0.99975192712364569,1,0,0,0,-0,-0,-0,0.54293723484434742,0.3585796950431332,1.5,1.1040585342882898,0.8299422039616231,908.80653095245361
749598,749598,1000,113000,112,0.99959713315250143,1,0,0,0,-0,-0,-0,0.55376480285834029,0.32404044473851884,1.5,1.2977568388098368,0.5816356957035651,904.77457308769226
631837,631837,1000,113000,112,0.99937657248816769,0.999,0,0,0,-0,-0,-0,0.63298570956872169,0.35221679663492811,1.5,1.309155558637781,1.0959183117968783,906.56412696838379
746550,746550,1000,113000,112,0.99950509833065548,0.998,0,0,0,-0,-0,-0,0.53807568385021443,0.29369327549364338,1.5,1.0986147482800712,0.65476374422280648,910.70728492736816
709734,709734,1000,113000,112,0.99962645157596919,0.999,0,0,0,-0,-0,-0,0.53829223075171229,0.36615827077744234,1.5,1.2991894199812886,0.87589368569754611,910.40225195884705
181983,181983,1000,113000,112,0.99992668560974063,0.998,0,0,0,-0,-0,-0,0.58175007274222623,0.31707145144555637,1.5,1.2510978691731007,0.89333347555349463,912.18612408638
279125,279125,1000,113000,112,0.99999275064899018,1,0,0,0,-0,-0,-0,0.50076159755877425,0.31174998216227151,1.5,1.1072972598864657,0.70626891626007848,917.75267505645752
965652,965652,1000,113000,112,0.99693528167628198,0.996,0,0,0,-0,-0,-0,0.60099809990635122,0.37136813908138083,1.5,1.3183781586860126,0.67107235825402534,921.13225698471069
175307,175307,1000,113000,112,0.99945186206812786,1,0,0,0,-0,-0,-0,0.55936311461530297,0.37540162337377952,1.5,1.2588386947276415,0.73805463072006261,504.52624583244324
218892,218892,1000,113000,112,0.99969124294071565,0.999,0,0,0,-0,-0,-0,0.63345861279021254,0.3858729428148871,1.5,1.3586726348696605,0.65365065621446028,504.2507119178772
262269,262269,1000,113000,112,0.99965456766081195,0.999,0,0,0,-0,-0,-0,0.56291582469626722,0.3205054256795723,1.5,0.95174240531309684,0.76420849321739903,511.86441588401794
273956,273956,1000,113000,112,0.99889693162885917,0.998,0,0,0,-0,-0,-0,0.47477781731773788,0.33903221833803932,1.5,1.2956753491141064,0.68826575873154128,516.65205097198486
828743,828743,1000,113000,112,0.99991191976946792,1,0,0,0,-0,-0,-0,0.53902373677482374,0.3396767464171434,1.5,1.20000149829092,0.81194801001117856,515.57753300666809
656460,656460,1000,113000,112,0.99920457364070248,1,0,0,0,-0,-0,-0,0.52372663342973558,0.34068225712713596,1.5,1.138610893514449,0.73534970949631362,519.1913149356842
893076,893076,1000,113000,112,0.99966340938280451,1,0,0,0,-0,-0,-0,0.53143325152666043,0.28617833193401809,1.5,1.0271091197913973,0.78659857134793121,521.02174091339111
503506,503506,1000,113000,112,0.99801750483190677,0.998,0,0,0,-0,-0,-0,0.61920916696835482,0.33729641989697345,1.5,1.4673566913080556,0.75570851084192125,514.69122886657715
245877,245877,1000,113000,112,0.99960009452782117,1,0,0,0,-0,-0,-0,0.58517065240117527,0.3183839845055082,1.5,1.2629032415097194,0.52886243357640006,507.47354006767273
155832,155832,1000,113000,112,0.99975667375364996,1,0,0,0,-0,-0,-0,0.58490908309047995,0.35156094853723241,1.5,1.3694556559167761,0.69527369141608253,749.37563896179199
55163,55163,1000,113000,112,0.99752913551464628,0.998,0,0,0,-0,-0,-0,0.57557129801425477,0.34394038777335617,1.5,1.1686922615072535,0.76337489212204745,902.60577607154846
510043,510043,1000,113000,112,0.99973062699920445,1,0,0,0,-0,-0,-0,0.53420833226654862,0.32379135305528206,1.5,1.165626303647008,0.68673764756138267,507.29697418212891
364834,364834,1000,113000,112,0.99981979394784626,0.999,0,0,0,-0,-0,-0,0.55086024601721739,0.33051381129351048,1.5,1.2432638370359506,0.63480740937338964,505.77894687652588
50978,50978,1000,113000,112,0.99950597673686936,1,0,0,0,-0,-0,-0,0.57832183900735767,0.35444695538965815,1.5,1.3621245726878555,0.63557622704837213,508.41933083534241
983225,983225,1000,113000,112,0.9998950967022846,1,0,0,0,-0,-0,-0,0.55555879587196866,0.33682742119627351,1.5,1.2752602574245167,0.95449045399294519,516.76319694519043
20510,20510,1000,113000,112,0.99985858639888336,0.999,0,0,0,-0,-0,-0,0.50886778047987069,0.34093888554688939,1.5,1.2667991040190929,0.76357265703395716,520.64071607589722
39528,39528,1000,113000,112,0.99975240088202877,0.999,0,0,0,-0,-0,-0,0.5292395796609306,0.31812873423756433,1.5,1.2470703335971671,0.77638698592544997,519.26516890525818
359706,359706,1000,113000,112,0.9995567463728825,1,0,0,0,-0,-0,-0,0.59468471305076021,0.33246105664869402,1.5,1.2641726215539457,0.92268353225905719,915.05719900131226
518624,518624,1000,113000,112,0.99860583354468468,0.998,0,0,0,-0,-0,-0,0.51857852786109648,0.3283172929402568,1.5,1.2123490140711792,0.81650802753060536,516.71062994003296
279217,279217,1000,113000,112,0.99980999961054662,0.999,0,0,0,-0,-0,-0,0.54431615788827192,0.30322543143202302,1.5,1.1432975008044377,0.82594316199671303,510.34834909439087
246715,246715,1000,113000,112,0.99673658100999374,0.997,0,0,0,-0,-0,-0,0.55098247986580917,0.38414861212588608,1.5,1.389044220533044,0.66298367977954786,902.9900369644165
690925,690925,1000,113000,112,0.99931182864662871,0.998,0,0,0,-0,-0,-0,0.54919028096180245,0.3318899153858364,1.5,1.164510672120429,0.62045130929783987,908.37211918830872
696535,696535,1000,113000,112,0.99759323024123325,0.997,0,0,0,-0,-0,-0,0.50549454146898898,0.30890975745966581,1.5,1.2186185786043022,0.87105431225968744,903.3586220741272
795298,795298,1000,113000,112,0.99954271712390985,0.999,0,0,0,-0,-0,-0,0.5425553502274213,0.33597915700716202,1.5,0.99110872553758367,0.85563660808375652,911.9468080997467
535117,535117,1000,113000,112,0.99996965556966511,1,0,0,0,-0,-0,-0,0.58305825496364672,0.33623038352784917,1.5,1.3926407950981354,0.9409291543429753,918.48544883728027
