iter,total_shots,n_train,m_rec,m_rec_raw,s_rec,x_rec_u1,x_rec_u2,x_rec_u3,x_acq_u1,x_acq_u2,x_acq_u3,m_acq,s_acq,acq_score,y_acq,q_det_rec,q_det_acq,center_jitter_u1,center_jitter_u2,center_jitter_u3,true_opt_u1,true_opt_u2,true_opt_u3
1,Inf,13,0.75358210477537035,0.75358210477537035,0.016747786858042017,-0.074100336070085551,-0.080491168194469359,-0.10466825501622821,-0.071926744817099486,-0.16387111873987603,-0.40356236763546693,0.65341473035673525,0.12697886708443343,0.90229330984222478,0.495841247696995,0.78027243081266873,0.495841247696995,0,0,0,-0,-0,-0
2,Inf,14,0.76004235925648045,0.76004235925648045,0.027061564340490965,-0.075486117983280421,-0.054257181753278129,-0.033497758921498651,-0.023848157758409538,0.2973419825522452,0.053263754529722096,0.65148251824216941,0.13178046625328885,0.90977223209861546,0.49524375953686484,0.860145052004195,0.49524375953686484,0,0,0,-0,-0,-0
3,Inf,15,0.75797568997503828,0.75797568997503828,0.022237506360953268,-0.086764346580186391,-0.12877481207861041,-0.052591074014584342,-0.080667206736561692,-0.34083074424804582,0.021353845891901813,0.70439028453034203,0.088515954593667304,0.87788155553392988,0.35227257547651181,0.54064542790881709,0.35227257547651181,0,0,0,-0,-0,-0
4,Inf,16,0.79624988731529478,0.79624988731529478,0.037508595180190271,-0.09864829827804214,0.022538924548707883,-0.11668083024711358,-0.18163151323271265,0.13533234123851834,-0.11382346987597414,0.69567738178979721,0.1080628768270615,0.90748062037083776,0.56801802601546991,0.89794750529243639,0.56801802601546991,0,0,0,-0,-0,-0
5,Inf,17,0.77941734218305991,0.77941734218305991,0.022754136528243429,-0.082392621682863446,-0.0060641196911939777,-0.1123090150385862,-0.081296663500365796,0.10798923555473117,-0.1003710487395626,0.74391002950439289,0.042320109560165811,0.82685744424231788,0.740061493227548,0.93307970263295315,0.740061493227548,0,0,0,-0,-0,-0
6,Inf,18,0.77777132291472606,0.77777132291472606,0.014141101267614841,-0.082640834974693322,-0.0095107827780989574,-0.11162756123868661,-0.058139015261680971,0.039551942700296383,-0.1538573877922822,0.74887988768905012,0.034673775820787962,0.81684048829779454,0.9198403955413873,0.93130659732467058,0.9198403955413873,0,0,0,-0,-0,-0
7,Inf,19,0.95402334064723537,0.95402334064723537,0.026735481994858045,-0.035862399691359695,0.028059480732523109,-0.1839867460460935,0.029819502349615945,0.049305488781286932,-0.21285893423242586,0.85716472320479697,0.092483002729676175,1.0384314085549622,0.91072716414974131,0.95379619405657468,0.91072716414974131,0,0,0,-0,-0,-0
8,Inf,20,0.96710546949930176,0.96710546949930176,0.026502641327785677,-0.025954824502627479,0.031818738749065177,-0.18861326888358707,-0.0018940872147514831,-0.019367992514637944,-0.14574932527650653,0.93043133882178908,0.042029947462633464,1.0128100358485508,0.99302959178584649,0.95165736795362488,0.99302959178584649,0,0,0,-0,-0,-0
9,Inf,21,1,1.0004728148494921,0.014614526413901024,-0.013583978074302776,-0.004150820863976174,-0.16314366873657346,-0.018602327904670979,0.039328936376117785,-0.13120912006951713,0.97813808061533269,0.022793624172971413,1.0228135839943566,0.94437901181716255,0.99568343626613465,0.94437901181716255,0,0,0,-0,-0,-0
10,Inf,22,1,1.0149996770890291,0.033438995750636497,0.037314655410763585,-0.0042587484763420931,-0.035879664011536812,0.1789359858311701,0.011239549592943376,0.39235226408649293,0.91348647339510003,0.13858746252875273,1.1851178999514553,0.76771074385630711,0.98657410976347693,0.76771074385630711,0,0,0,-0,-0,-0
