n_pts,N_shots,seed,axis,u_proj,Q_obs,sig_obs
10,100,1,fcl,0.482920,0.200000,0.039545
10,100,3,fcl,-0.329325,0.500000,0.049936
10,100,5,fsb,0.376846,0.420000,0.049718
10,100,7,amp,0.477199,0.910000,0.026260
10,100,8,fcl,-0.143499,0.880000,0.038833
10,100,8,fsb,0.345207,0.540000,0.049997
10,100,10,fsb,0.182879,0.560000,0.049133
10,100,11,amp,-0.340279,0.860000,0.036811
10,100,11,amp,-0.133017,0.970000,0.022931
10,100,12,fcl,0.240864,0.570000,0.048750
10,100,13,amp,0.151666,1.000000,0.015191
10,100,13,fsb,-0.439336,0.470000,0.049812
10,100,14,amp,-0.135896,0.780000,0.042550
10,100,15,fcl,0.021271,0.890000,0.032302
10,100,15,fsb,0.067461,0.890000,0.032302
10,100,15,amp,-0.082802,0.890000,0.032302
10,100,16,amp,0.421616,0.790000,0.045804
10,100,17,amp,0.295979,0.910000,0.031351
10,100,18,amp,0.141167,0.980000,0.006552
10,100,19,amp,0.251757,0.980000,0.011785
10,100,21,fcl,0.440598,0.230000,0.041102
10,100,22,fcl,0.033496,0.980000,0.018185
10,100,22,fsb,0.031005,0.980000,0.018185
10,100,22,amp,0.061177,0.980000,0.018185
10,100,22,fsb,-0.385710,0.430000,0.049323
10,100,24,amp,-0.475060,0.860000,0.030074
10,100,25,amp,0.173800,0.970000,0.015279
10,100,26,fsb,0.236454,0.490000,0.049928
10,100,28,amp,-0.368256,0.900000,0.029344
10,100,29,fsb,0.134713,0.660000,0.044920
10,100,29,fsb,0.366104,0.510000,0.049864
10,100,30,fcl,0.278608,0.510000,0.049945
10,100,30,fcl,-0.118136,0.920000,0.032859
10,100,30,amp,-0.274331,0.790000,0.040549
10,100,33,amp,-0.465806,0.940000,0.023696
10,100,36,amp,0.132448,0.910000,0.025696
10,100,38,amp,0.149741,0.850000,0.034100
10,100,40,fsb,-0.176416,0.360000,0.048994
10,100,40,amp,-0.388738,0.950000,0.023806
10,100,42,amp,0.290650,0.930000,0.024978
10,100,43,fcl,0.300834,0.410000,0.049899
10,100,44,fsb,0.230764,0.560000,0.049894
10,100,45,fsb,-0.223606,0.320000,0.047622
10,100,45,fsb,-0.406381,0.400000,0.048243
