scan_kind,sequence_name,sequence_label,numMS,scan_name,x_axis,y_axis,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,1,1,1,-0.5,0,-2,0.66254265094380504,0.26071986407764092,0.038368742489277061,0.038368742489277061,0.076737484978554121,0.40182278686616413,9.2727763303247752e-05,0.99989549141336287,0.26071986407764092
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,2,1,1,-0.46666666666666667,0,-2,0.69249346321423577,0.22315251081338783,0.042177012986188235,0.042177012986188235,0.08435402597237647,0.46934095240084794,9.2727763303247752e-05,0.99989549141336287,0.22315251081338783
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,3,1,1,-0.43333333333333335,0,-2,0.72113933352944082,0.18783990458035024,0.045510380945104456,0.045510380945104456,0.091020761890208912,0.53329942894909055,9.2727763303247752e-05,0.99989549141336287,0.18783990458035024
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,4,1,1,-0.40000000000000002,0,-2,0.74806705198555989,0.15553652837065246,0.048198209821893871,0.048198209821893871,0.096396419643787742,0.59253052361490743,9.2727763303247752e-05,0.99989549141336287,0.15553652837065246
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,5,1,1,-0.36666666666666664,0,-2,0.77287042927109484,0.12693025582775458,0.05009965745057527,0.05009965745057527,0.10019931490115054,0.64594017344334032,9.2727763303247752e-05,0.99989549141336287,0.12693025582775458
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,6,1,1,-0.33333333333333331,0,-2,0.79515607317499382,0.10261895798131047,0.051112484421847869,0.051112484421847869,0.10222496884369574,0.69253711519368333,9.2727763303247752e-05,0.99989549141336287,0.10261895798131047
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,7,1,1,-0.29999999999999999,0,-2,0.81454869593906765,0.083088936817238418,0.051181183621846905,0.051181183621846905,0.10236236724369381,0.73145975912182926,9.2727763303247752e-05,0.99989549141336287,0.083088936817238418
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,8,1,1,-0.26666666666666666,0,-2,0.83069638721209615,0.068696327789109904,0.050303642499397054,0.050303642499397054,0.10060728499879411,0.76200005942298621,9.2727763303247752e-05,0.99989549141336287,0.068696327789109904
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,9,1,1,-0.23333333333333334,0,-2,0.84327637802500144,0.059652648508980818,0.048535486733008809,0.048535486733008809,0.097070973466017618,0.78362372951602066,9.2727763303247752e-05,0.99989549141336287,0.059652648508980818
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,10,1,1,-0.20000000000000001,0,-2,0.85200177343630124,0.056015602599543711,0.045991311982077579,0.045991311982077579,0.091982623964155158,0.79598617083675749,9.2727763303247752e-05,0.99989549141336287,0.056015602599543711
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,11,1,1,-0.16666666666666666,0,-2,0.85662954719288287,0.057686080842034887,0.042842185982541116,0.042842185982541116,0.085684371965082232,0.79894346635084801,9.2727763303247752e-05,0.99989549141336287,0.057686080842034887
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,12,1,1,-0.13333333333333333,0,-2,0.85696983719152853,0.064411969773999933,0.039309096517235805,0.039309096517235805,0.078618193034471609,0.79255786741752865,9.2727763303247752e-05,0.99989549141336287,0.064411969773999933
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,13,1,1,-0.10000000000000001,0,-2,0.85289618570207437,0.075799036279793855,0.035652389009065887,0.035652389009065887,0.071304778018131773,0.77709714942228048,9.2727763303247752e-05,0.99989549141336287,0.075799036279793855
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,14,1,1,-0.066666666666666666,0,-2,0.84435606315450984,0.091328643422248085,0.032157646711620975,0.032157646711620975,0.064315293423241951,0.75302741973226173,9.2727763303247752e-05,0.99989549141336287,0.091328643422248085
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,15,1,1,-0.033333333333333333,0,-2,0.83138068842776647,0.11038159804938458,0.029118856761424439,0.029118856761424439,0.058237713522848879,0.72099909037838184,9.2727763303247752e-05,0.99989549141336287,0.11038159804938458
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,16,1,1,0,0,-2,0.81409299327358609,0.13226695421893869,0.026820026253737621,0.026820026253737621,0.053640052507475243,0.68182603905464734,9.2727763303247752e-05,0.99989549141336287,0.13226695421893869
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,17,1,1,0.033333333333333333,0,-2,0.79271255733074153,0.15625419384541805,0.025516624411920246,0.025516624411920246,0.051033248823840492,0.63645836348532348,9.2727763303247752e-05,0.99989549141336287,0.15625419384541805
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,18,1,1,0.066666666666666666,0,-2,0.76755646807862687,0.18160693669176983,0.025418297614801688,0.025418297614801688,0.050836595229603376,0.58594953138685701,9.2727763303247752e-05,0.99989549141336287,0.18160693669176983
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,19,1,1,0.10000000000000001,0,-2,0.73903535511942298,0.20761619170943291,0.026674226585572079,0.026674226585572079,0.053348453171144158,0.53141916340999007,9.2727763303247752e-05,0.99989549141336287,0.20761619170943291
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,20,1,1,0.13333333333333333,0,-2,0.70764427050679179,0.2336311732094582,0.029362278141875021,0.029362278141875021,0.058724556283750041,0.4740130972973336,9.2727763303247752e-05,0.99989549141336287,0.2336311732094582
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,21,1,1,0.16666666666666666,0,-2,0.67394857044276801,0.25908587074937095,0.033482779403930574,0.033482779403930574,0.066965558807861147,0.41486269969339706,9.2727763303247752e-05,0.99989549141336287,0.25908587074937095
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,22,1,1,0.20000000000000001,0,-2,0.63856544497582113,0.28351988561433555,0.038957334704921659,0.038957334704921659,0.077914669409843318,0.35504555936148557,9.2727763303247752e-05,0.99989549141336287,0.28351988561433555
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,23,1,1,0.23333333333333334,0,-2,0.60214219547187309,0.3065924445147104,0.045632680006708282,0.045632680006708282,0.091265360013416563,0.29554975095716268,9.2727763303247752e-05,0.99989549141336287,0.3065924445147104
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,24,1,1,0.26666666666666666,0,-2,0.56533269492372051,0.32808898305898748,0.053289161008646058,0.053289161008646058,0.10657832201729212,0.23724371186473303,9.2727763303247752e-05,0.99989549141336287,0.32808898305898748
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,25,1,1,0.29999999999999999,0,-2,0.52877365300846901,0.34792020680933611,0.061653070091097432,0.061653070091097432,0.12330614018219486,0.18085344619913291,9.2727763303247752e-05,0.99989549141336287,0.34792020680933611
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,26,1,1,0.33333333333333331,0,-2,0.49306235283942201,0.36611400446064807,0.070411821349964945,0.070411821349964945,0.14082364269992989,0.12694834837877395,9.2727763303247752e-05,0.99989549141336287,0.36611400446064807
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,27,1,1,0.36666666666666664,0,-2,0.45873737358171041,0.38280103285703826,0.079230796780625681,0.079230796780625681,0.15846159356125136,0.075936340724672147,9.2727763303247752e-05,0.99989549141336287,0.38280103285703826
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,28,1,1,0.40000000000000002,0,-2,0.42626353887285173,0.39819513328541267,0.087770663920867784,0.087770663920867784,0.17554132784173557,0.02806840558743906,9.2727763303247752e-05,0.99989549141336287,0.39819513328541267
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,29,1,1,0.43333333333333335,0,-2,0.39602193201778618,0.41256998022031743,0.09570404388094815,0.09570404388094815,0.1914080877618963,-0.016548048202531251,9.2727763303247752e-05,0.99989549141336287,0.41256998022031743
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,30,1,1,0.46666666666666667,0,-2,0.36830534565120371,0.42623350204044369,0.10273057615417633,0.10273057615417633,0.20546115230835266,-0.057928156389239982,9.2727763303247752e-05,0.99989549141336287,0.42623350204044369
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,31,1,1,0.5,0,-2,0.34331908612792572,0.43950162625212263,0.10858964380997584,0.10858964380997584,0.21717928761995167,-0.096182540124196914,9.2727763303247752e-05,0.99989549141336287,0.43950162625212263
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,1,2,1,-0.5,0,-1.8666666666666667,0.46202251450324294,0.43058705988429496,0.053695212806231053,0.053695212806231053,0.10739042561246211,0.031435454618947978,9.2727763303247752e-05,0.99989549141336287,0.43058705988429496
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,2,2,1,-0.46666666666666667,0,-1.8666666666666667,0.50586379832768413,0.39459380173680647,0.049771199967754684,0.049771199967754684,0.099542399935509368,0.11126999659087766,9.2727763303247752e-05,0.99989549141336287,0.39459380173680647
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,3,2,1,-0.43333333333333335,0,-1.8666666666666667,0.54913381548687856,0.35606126071730076,0.047402461897910329,0.047402461897910329,0.094804923795820659,0.1930725547695778,9.2727763303247752e-05,0.99989549141336287,0.35606126071730076
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,4,2,1,-0.40000000000000002,0,-1.8666666666666667,0.59119625604305914,0.31585371933963968,0.04647501230865058,0.04647501230865058,0.092950024617301161,0.27534253670341946,9.2727763303247752e-05,0.99989549141336287,0.31585371933963968
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,5,2,1,-0.36666666666666664,0,-1.8666666666666667,0.6314423336056042,0.27492542357927385,0.046816121407560966,0.046816121407560966,0.093632242815121933,0.35651691002633035,9.2727763303247752e-05,0.99989549141336287,0.27492542357927385
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,6,2,1,-0.33333333333333331,0,-1.8666666666666667,0.6693058590157076,0.23429148560657465,0.048201327688858833,0.048201327688858833,0.096402655377717666,0.43501437340913296,9.2727763303247752e-05,0.99989549141336287,0.23429148560657465
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,7,2,1,-0.29999999999999999,0,-1.8666666666666667,0.70427608170374201,0.19499560053905024,0.050364158878603904,0.050364158878603904,0.10072831775720781,0.50928048116469182,9.2727763303247752e-05,0.99989549141336287,0.19499560053905024
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,8,2,1,-0.26666666666666666,0,-1.8666666666666667,0.73590758078767093,0.15807545295230835,0.053008483130010324,0.053008483130010324,0.10601696626002065,0.57783212783536264,9.2727763303247752e-05,0.99989549141336287,0.15807545295230835
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,9,2,1,-0.23333333333333334,0,-1.8666666666666667,0.76382680035118822,0.12452687929278987,0.055823160178010915,0.055823160178010915,0.11164632035602183,0.63929992105839839,9.2727763303247752e-05,0.99989549141336287,0.12452687929278987
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,10,2,1,-0.20000000000000001,0,-1.8666666666666667,0.78773512476291085,0.095268061379137306,0.058498406928975864,0.058498406928975864,0.11699681385795173,0.69246706338377351,9.2727763303247752e-05,0.99989549141336287,0.095268061379137306
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,11,2,1,-0.16666666666666666,0,-1.8666666666666667,0.80740874540675633,0.071105176566797518,0.060743039013223053,0.060743039013223053,0.12148607802644611,0.73630356883995884,9.2727763303247752e-05,0.99989549141336287,0.071105176566797518
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,12,2,1,-0.13333333333333333,0,-1.8666666666666667,0.82269584285331465,0.052701028527964058,0.062301564309360652,0.062301564309360652,0.1246031286187213,0.76999481432535055,9.2727763303247752e-05,0.99989549141336287,0.052701028527964058
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,13,2,1,-0.10000000000000001,0,-1.8666666666666667,0.83351181985464995,0.040548185714856327,0.062969997215246848,0.062969997215246848,0.1259399944304937,0.79296363413979365,9.2727763303247752e-05,0.99989549141336287,0.040548185714856327
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,14,2,1,-0.066666666666666666,0,-1.8666666666666667,0.83983342063668998,0.034948051363936992,0.062609263999686499,0.062609263999686499,0.125218527999373,0.804885369272753,9.2727763303247752e-05,0.99989549141336287,0.034948051363936992
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,15,2,1,-0.033333333333333333,0,-1.8666666666666667,0.84169253105675956,0.035997097914514976,0.061155185514362748,0.061155185514362748,0.1223103710287255,0.80569543314224457,9.2727763303247752e-05,0.99989549141336287,0.035997097914514976
heatmap,varms_2,2 x MS0(pi/2),2,phase_fcl,phase,fcl,16,2,1,0,0,-1.8666666666666667,0.83917034556748593,0.043581179105835935,0.058624237663339074,0.058624237663339074,0.11724847532667815,0.79558916646165001,9.2727763303247752e-05,0.99989549141336287,0.043581179105835935
