scan_kind,sequence_name,sequence_label,numMS,scan_name,x_axis,y_axis,x_index,y_index,rabi_ratio,phase_pi,sideband_2pi_khz,fcl_2pi_khz,gg,ee,eg,ge,odd,balance,nominal_gg,nominal_ee,score
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,1,1,0.80000000000000004,-0.5,0,0,0.54824993789363952,0.44800658317358749,0.0018717394663865503,0.0018717394663865503,0.0037434789327731007,0.10024335472005202,9.2727763303247752e-05,0.99989549141336287,0.44800658317358749
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,2,1,0.81333333333333335,-0.5,0,0,0.54210301496782087,0.45396856618395198,0.0019642094241135609,0.0019642094241135609,0.0039284188482271217,0.088134448783868891,9.2727763303247752e-05,0.99989549141336287,0.45396856618395198
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,3,1,0.82666666666666666,-0.5,0,0,0.53630874726942468,0.45957330886243192,0.0020589719340717598,0.0020589719340717598,0.0041179438681435195,0.076735438406992762,9.2727763303247752e-05,0.99989549141336287,0.45957330886243192
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,4,1,0.83999999999999997,-0.5,0,0,0.53087685246887961,0.46481118750019945,0.0021559800154604385,0.0021559800154604385,0.0043119600309208771,0.06606566496868016,9.2727763303247752e-05,0.99989549141336287,0.46481118750019945
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,5,1,0.85333333333333339,-0.5,0,0,0.52581641459746908,0.469673221798452,0.0022551818020394108,0.0022551818020394108,0.0045103636040788216,0.056143192799017083,9.2727763303247752e-05,0.99989549141336287,0.469673221798452
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,6,1,0.8666666666666667,-0.5,0,0,0.52113587172350162,0.47415108602226685,0.0023565211271158078,0.0023565211271158078,0.0047130422542316155,0.046984785701234766,9.2727763303247752e-05,0.99989549141336287,0.47415108602226685
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,7,1,0.88,-0.5,0,0,0.51684300423730611,0.47823712328235624,0.0024599362401687866,0.0024599362401687866,0.0049198724803375731,0.038605880954949878,9.2727763303247752e-05,0.99989549141336287,0.47823712328235624
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,8,1,0.89333333333333331,-0.5,0,0,0.51294491832100564,0.48192435848873272,0.0025653615951308885,0.0025653615951308885,0.005130723190261777,0.03102055983227292,9.2727763303247752e-05,0.99989549141336287,0.48192435848873272
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,9,1,0.90666666666666662,-0.5,0,0,0.5094480362136562,0.48520651101856416,0.0026727263838898395,0.0026727263838898395,0.0053454527677796789,0.02424152519509204,9.2727763303247752e-05,0.99989549141336287,0.48520651101856416
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,10,1,0.92000000000000004,-0.5,0,0,0.5063580874730097,0.48807800248428745,0.0027819550213514623,0.0027819550213514623,0.0055639100427029246,0.018280084988722245,9.2727763303247752e-05,0.99989549141336287,0.48807800248428745
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,11,1,0.93333333333333335,-0.5,0,0,0.50368009445654227,0.49053396934545068,0.0028929680990034219,0.0028929680990034219,0.0057859361980068438,0.013146125111091589,9.2727763303247752e-05,0.99989549141336287,0.49053396934545068
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,12,1,0.94666666666666666,-0.5,0,0,0.50141836918641103,0.4925702688809343,0.0030056809663273694,0.0030056809663273694,0.0060113619326547388,0.0088481003054767249,9.2727763303247752e-05,0.99989549141336287,0.4925702688809343
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,13,1,0.95999999999999996,-0.5,0,0,0.49957650439704993,0.49418348501219628,0.0031200052953768696,0.0031200052953768696,0.0062400105907537392,0.0053930193848536478,9.2727763303247752e-05,0.99989549141336287,0.49418348501219628
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,14,1,0.97333333333333338,-0.5,0,0,0.49815736798154792,0.49537093697741164,0.0032358475205202667,0.0032358475205202667,0.0064716950410405333,0.0027864310041362805,9.2727763303247752e-05,0.99989549141336287,0.49537093697741164
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,15,1,0.98666666666666669,-0.5,0,0,0.49716309886108795,0.49613068009911415,0.0033531105198989779,0.0033531105198989779,0.0067062210397979558,0.0010324187619737968,9.2727763303247752e-05,0.99989549141336287,0.49613068009911415
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,16,1,1,-0.5,0,0,0.49659510202173712,0.4964615109007518,0.0034716935387555685,0.0034716935387555685,0.0069433870775111369,0.00013359112098532133,9.2727763303247752e-05,0.99989549141336287,0.4964615109007518
heatmap,varms_2,2 x MS0(pi/2),2,rabi_phase,rabi,phase,17,1,1.0133333333333334,-0.5,0,0,0.49645405078302163,0.49636296848424144,0.0035914903663685155,0.0035914903663685155,0.007182980732737031,9.1082298780187365e-05,9.2727763303247752e-05,0.99989549141336287,0.49636296848424144
