mode,N_shots,n_pts,median_seed,slice_axis,u_proj,Q_obs,σ_obs,Q_true_proj,Q_det_proj,μ_GP_proj,σ_GP_proj
fixed,50,100,32,fcl,0.842840,0.000000,0.000000,0.000000,0.525939,0.000354,0.005440
fixed,50,100,32,fcl,0.257575,0.000000,0.000000,0.124678,0.821162,0.000085,0.003174
fixed,50,100,32,fcl,0.734158,0.000000,0.000000,0.000000,0.501691,0.000124,0.003277
fixed,50,100,32,fcl,-0.408369,0.000000,0.000000,0.000000,0.267723,0.000443,0.006286
fixed,50,100,32,fcl,0.444559,0.000000,0.000000,0.000000,0.663658,-0.000056,0.002678
fixed,50,100,32,fcl,0.707026,0.000000,0.000000,0.000000,0.510701,0.000084,0.002872
fixed,50,100,32,fcl,-0.518547,0.000000,0.000000,0.000000,0.402006,0.000333,0.005453
fixed,50,100,32,fcl,0.390105,0.000000,0.000000,0.000000,0.703111,-0.000036,0.002478
fixed,50,100,32,fcl,0.185890,0.080000,0.038367,0.523118,0.882706,0.000177,0.004285
fixed,50,100,32,fcl,-0.890489,0.000000,0.000000,0.000000,0.341758,-0.000117,0.005863
fixed,50,100,32,fcl,0.062456,0.000000,0.000000,0.941142,0.977911,0.000334,0.005999
fixed,50,100,32,fcl,0.132248,0.500000,0.070711,0.752939,0.926538,0.000248,0.005102
fixed,50,100,32,fcl,0.468163,0.000000,0.000000,0.000000,0.648963,-0.000059,0.002730
fixed,50,100,32,fcl,0.075590,0.000000,0.000000,0.914389,0.969467,0.000319,0.005848
fixed,50,100,32,fcl,-0.682650,0.420000,0.069800,0.000000,0.500476,0.000095,0.004289
fixed,50,100,32,fcl,0.141655,0.000000,0.000000,0.715976,0.918956,0.000236,0.004965
fixed,50,100,32,fcl,0.305175,0.000000,0.000000,0.000000,0.777887,0.000031,0.002619
fixed,50,100,32,fcl,-0.773936,0.000000,0.000000,0.000000,0.415528,-0.000037,0.004488
fixed,50,100,32,fcl,-0.549932,0.000000,0.000000,0.000000,0.439790,0.000293,0.005190
fixed,50,100,32,fcl,0.651498,0.000000,0.000000,0.000000,0.539200,0.000020,0.002374
fixed,50,100,32,fcl,0.210590,0.000000,0.000000,0.393117,0.861990,0.000144,0.003892
fixed,50,100,32,fcl,-0.233464,0.000000,0.000000,0.431354,0.536497,0.000511,0.007134
fixed,50,100,32,fcl,0.136857,0.000000,0.000000,0.735960,0.922835,0.000242,0.005035
fixed,50,100,32,fcl,-0.985423,0.000000,0.000000,0.000000,0.234848,-0.000031,0.007367
fixed,50,100,32,fcl,-0.176218,0.000000,0.000000,0.559719,0.724127,0.000504,0.007221
fixed,50,100,32,fcl,0.548806,0.000000,0.000000,0.000000,0.602458,-0.000047,0.002594
fixed,50,100,32,fcl,0.420638,0.000000,0.000000,0.000000,0.679946,-0.000049,0.002595
fixed,50,100,32,fcl,-0.336622,0.000000,0.000000,0.257240,0.244426,0.000487,0.006719
fixed,50,100,32,fcl,0.991533,0.000000,0.000000,0.000000,0.606066,0.000923,0.008935
fixed,50,100,32,fcl,0.414458,0.000000,0.000000,0.000000,0.684413,-0.000047,0.002570
fixed,50,100,32,fcl,0.241622,0.180000,0.054332,0.217338,0.835259,0.000104,0.003408
fixed,50,100,32,fcl,-0.834119,0.000000,0.000000,0.000000,0.383515,-0.000097,0.005092
fixed,50,100,32,fcl,-0.248617,0.000000,0.000000,0.407814,0.485611,0.000510,0.007092
fixed,50,100,32,fcl,-0.645631,0.320000,0.065970,0.000000,0.506526,0.000153,0.004455
fixed,50,100,32,fcl,-0.877911,0.000000,0.000000,0.000000,0.353329,-0.000117,0.005679
fixed,50,100,32,fcl,-0.093205,0.000000,0.000000,0.844418,0.926240,0.000470,0.007111
fixed,50,100,32,fcl,0.346675,0.000000,0.000000,0.000000,0.740087,-0.000007,0.002415
fixed,50,100,32,fcl,-0.614829,0.000000,0.000000,0.000000,0.496390,0.000200,0.004662
fixed,50,100,32,fcl,-0.932998,0.100000,0.042426,0.000000,0.295762,-0.000100,0.006514
